#K-Path(1/A)         Spin-Up(eV)   Spin-Down(eV)
# NKPTS & NBANDS: 150 160
# Band-Index    1
   0.00000    -19.211659    -19.214082
   0.01136    -19.211306    -19.213729
   0.02272    -19.210252    -19.212676
   0.03408    -19.208494    -19.210918
   0.04544    -19.206031    -19.208454
   0.05681    -19.202866    -19.205289
   0.06817    -19.198992    -19.201415
   0.07953    -19.194411    -19.196834
   0.09089    -19.189123    -19.191546
   0.10225    -19.183132    -19.185555
   0.11361    -19.176437    -19.178859
   0.12497    -19.169037    -19.171460
   0.13633    -19.160936    -19.163358
   0.14770    -19.152127    -19.154549
   0.15906    -19.142617    -19.145039
   0.17042    -19.132404    -19.134826
   0.18178    -19.121486    -19.123907
   0.19314    -19.109864    -19.112285
   0.20450    -19.097545    -19.099965
   0.21586    -19.084523    -19.086944
   0.22722    -19.070797    -19.073217
   0.23859    -19.056373    -19.058793
   0.24995    -19.041247    -19.043667
   0.26131    -19.025414    -19.027833
   0.27267    -19.008882    -19.011301
   0.28403    -18.991650    -18.994068
   0.29539    -18.973720    -18.976138
   0.30675    -18.955088    -18.957505
   0.31811    -18.935755    -18.938172
   0.32948    -18.915727    -18.918144
   0.34084    -18.895001    -18.897417
   0.35220    -18.873579    -18.875995
   0.36356    -18.851459    -18.853875
   0.37492    -18.828649    -18.831064
   0.38628    -18.805141    -18.807555
   0.39764    -18.780928    -18.783342
   0.40900    -18.756027    -18.758440
   0.42037    -18.730433    -18.732845
   0.43173    -18.704149    -18.706561
   0.44309    -18.677169    -18.679580
   0.45445    -18.649498    -18.651909
   0.46581    -18.621134    -18.623544
   0.47717    -18.592079    -18.594489
   0.48853    -18.562337    -18.564746
   0.49989    -18.531904    -18.534313
   0.51126    -18.500788    -18.503196
   0.52262    -18.468981    -18.471389
   0.53398    -18.436486    -18.438895
   0.54534    -18.403310    -18.405719
   0.55670    -18.370075    -18.372669
   0.55670    -18.370075    -18.372669
   0.56326    -18.369957    -18.372551
   0.56982    -18.369610    -18.372204
   0.57638    -18.369026    -18.371620
   0.58294    -18.368211    -18.370804
   0.58950    -18.367163    -18.369757
   0.59606    -18.365882    -18.368476
   0.60262    -18.364368    -18.366962
   0.60918    -18.362620    -18.365214
   0.61574    -18.360640    -18.363234
   0.62230    -18.358429    -18.361023
   0.62886    -18.355985    -18.358579
   0.63542    -18.353310    -18.355904
   0.64198    -18.350400    -18.352994
   0.64854    -18.347258    -18.349851
   0.65510    -18.343882    -18.346475
   0.66166    -18.340275    -18.342868
   0.66822    -18.336436    -18.339029
   0.67478    -18.332363    -18.334956
   0.68134    -18.328058    -18.330651
   0.68790    -18.323521    -18.326114
   0.69446    -18.318750    -18.321343
   0.70102    -18.313745    -18.316338
   0.70758    -18.308513    -18.311105
   0.71414    -18.303046    -18.305638
   0.72070    -18.297348    -18.299940
   0.72726    -18.291418    -18.294010
   0.73382    -18.285258    -18.287850
   0.74038    -18.278861    -18.281453
   0.74694    -18.272234    -18.274825
   0.75351    -18.265373    -18.267965
   0.76007    -18.258282    -18.260874
   0.76663    -18.250961    -18.253553
   0.77319    -18.243406    -18.245997
   0.77975    -18.235623    -18.238214
   0.78631    -18.227606    -18.230197
   0.79287    -18.219358    -18.221949
   0.79943    -18.210879    -18.213470
   0.80599    -18.202169    -18.204760
   0.81255    -18.193226    -18.195816
   0.81911    -18.184053    -18.186643
   0.82567    -18.174646    -18.177236
   0.83223    -18.165011    -18.167601
   0.83879    -18.155147    -18.157737
   0.84535    -18.145050    -18.147640
   0.85191    -18.134720    -18.137309
   0.85847    -18.124162    -18.126751
   0.86503    -18.113376    -18.115965
   0.87159    -18.102370    -18.104958
   0.87815    -18.091909    -18.094409
   0.87815    -18.091909    -18.094409
   0.89127    -18.135481    -18.137889
   0.90439    -18.179564    -18.181969
   0.91751    -18.222753    -18.225158
   0.93062    -18.265043    -18.267448
   0.94374    -18.306426    -18.308831
   0.95686    -18.346899    -18.349305
   0.96998    -18.386462    -18.388869
   0.98310    -18.425114    -18.427521
   0.99622    -18.462843    -18.465251
   1.00934    -18.499658    -18.502067
   1.02246    -18.535567    -18.537976
   1.03558    -18.570549    -18.572958
   1.04870    -18.604620    -18.607030
   1.06182    -18.637767    -18.640178
   1.07494    -18.669999    -18.672410
   1.08806    -18.701306    -18.703718
   1.10117    -18.731688    -18.734101
   1.11429    -18.761141    -18.763555
   1.12741    -18.789674    -18.792088
   1.14053    -18.817276    -18.819690
   1.15365    -18.843957    -18.846372
   1.16677    -18.869703    -18.872119
   1.17989    -18.894520    -18.896936
   1.19301    -18.918403    -18.920820
   1.20613    -18.941360    -18.943777
   1.21925    -18.963388    -18.965806
   1.23237    -18.984487    -18.986905
   1.24549    -19.004649    -19.007068
   1.25861    -19.023880    -19.026299
   1.27173    -19.042169    -19.044588
   1.28484    -19.059530    -19.061950
   1.29796    -19.075955    -19.078375
   1.31108    -19.091439    -19.093860
   1.32420    -19.105995    -19.108416
   1.33732    -19.119611    -19.122032
   1.35044    -19.132289    -19.134711
   1.36356    -19.144026    -19.146448
   1.37668    -19.154829    -19.157251
   1.38980    -19.164691    -19.167113
   1.40292    -19.173617    -19.176039
   1.41604    -19.181600    -19.184022
   1.42916    -19.188650    -19.191072
   1.44228    -19.194756    -19.197179
   1.45539    -19.199925    -19.202348
   1.46851    -19.204151    -19.206574
   1.48163    -19.207441    -19.209865
   1.49475    -19.209787    -19.212211
   1.50787    -19.211189    -19.213612
   1.52099    -19.211659    -19.214082
 
 
# Band-Index    2
   1.52099    -15.939494    -16.002071
   1.50787    -15.970048    -16.001936
   1.49475    -16.034083    -16.036541
   1.48163    -16.097442    -16.099819
   1.46851    -16.160038    -16.162391
   1.45539    -16.221851    -16.224190
   1.44228    -16.282864    -16.285193
   1.42916    -16.343073    -16.345394
   1.41604    -16.402472    -16.404787
   1.40292    -16.461051    -16.463362
   1.38980    -16.518805    -16.521113
   1.37668    -16.575729    -16.578034
   1.36356    -16.631819    -16.634122
   1.35044    -16.687068    -16.689369
   1.33732    -16.741475    -16.743775
   1.32420    -16.795030    -16.797329
   1.31108    -16.847736    -16.850034
   1.29796    -16.899578    -16.901875
   1.28484    -16.950563    -16.952859
   1.27173    -17.000683    -17.002979
   1.25861    -17.049941    -17.052236
   1.24549    -17.098330    -17.100625
   1.23237    -17.145847    -17.148141
   1.21925    -17.192488    -17.194783
   1.20613    -17.238251    -17.240545
   1.19301    -17.283134    -17.285428
   1.17989    -17.327129    -17.329423
   1.16677    -17.370241    -17.372535
   1.15365    -17.412466    -17.414759
   1.14053    -17.453797    -17.456091
   1.12741    -17.494240    -17.496534
   1.11429    -17.533789    -17.536083
   1.10117    -17.572445    -17.574740
   1.08806    -17.610200    -17.612494
   1.07494    -17.647055    -17.649350
   1.06182    -17.683008    -17.685303
   1.04870    -17.718063    -17.720359
   1.03558    -17.752211    -17.754507
   1.02246    -17.785446    -17.787743
   1.00934    -17.817778    -17.820075
   0.99622    -17.849203    -17.851501
   0.98310    -17.879719    -17.882017
   0.96998    -17.909322    -17.911621
   0.95686    -17.938013    -17.940312
   0.94374    -17.965790    -17.968090
   0.93062    -17.992651    -17.994951
   0.91751    -18.018593    -18.020894
   0.90439    -18.043611    -18.045913
   0.89127    -18.067712    -18.070013
   0.87815    -18.090470    -18.092882
   0.87815    -18.090470    -18.092882
   0.87159    -18.101105    -18.103319
   0.86503    -18.112109    -18.114322
   0.85847    -18.122894    -18.125107
   0.85191    -18.133451    -18.135664
   0.84535    -18.143782    -18.145994
   0.83879    -18.153878    -18.156091
   0.83223    -18.163742    -18.165955
   0.82567    -18.173377    -18.175590
   0.81911    -18.182783    -18.184996
   0.81255    -18.191956    -18.194170
   0.80599    -18.200900    -18.203113
   0.79943    -18.209609    -18.211823
   0.79287    -18.218088    -18.220302
   0.78631    -18.226336    -18.228550
   0.77975    -18.234352    -18.236566
   0.77319    -18.242135    -18.244349
   0.76663    -18.249690    -18.251905
   0.76007    -18.257011    -18.259226
   0.75351    -18.264102    -18.266317
   0.74694    -18.270963    -18.273177
   0.74038    -18.277590    -18.279805
   0.73382    -18.283987    -18.286201
   0.72726    -18.290147    -18.292362
   0.72070    -18.296077    -18.298292
   0.71414    -18.301775    -18.303990
   0.70758    -18.307242    -18.309457
   0.70102    -18.312474    -18.314689
   0.69446    -18.317479    -18.319695
   0.68790    -18.322250    -18.324465
   0.68134    -18.326787    -18.329003
   0.67478    -18.331092    -18.333308
   0.66822    -18.335166    -18.337381
   0.66166    -18.339005    -18.341220
   0.65510    -18.342612    -18.344828
   0.64854    -18.345988    -18.348204
   0.64198    -18.349130    -18.351346
   0.63542    -18.352040    -18.354256
   0.62886    -18.354716    -18.356931
   0.62230    -18.357159    -18.359375
   0.61574    -18.359371    -18.361587
   0.60918    -18.361351    -18.363566
   0.60262    -18.363098    -18.365314
   0.59606    -18.364613    -18.366829
   0.58950    -18.365894    -18.368110
   0.58294    -18.366941    -18.369157
   0.57638    -18.367757    -18.369973
   0.56982    -18.368341    -18.370557
   0.56326    -18.368688    -18.370904
   0.55670    -18.368806    -18.371022
   0.55670    -18.368806    -18.371022
   0.54534    -18.334884    -18.337284
   0.53398    -18.299660    -18.302061
   0.52262    -18.263747    -18.266148
   0.51126    -18.227157    -18.229558
   0.49989    -18.189884    -18.192285
   0.48853    -18.151934    -18.154334
   0.47717    -18.113305    -18.115705
   0.46581    -18.074016    -18.076415
   0.45445    -18.034042    -18.036441
