#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 150 160
# Band-Index    1
   0.00000    -19.211659  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.01136    -19.211306  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.02272    -19.210252  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.03408    -19.208494  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.04544    -19.206031  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.05681    -19.202866  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.06817    -19.198992  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.07953    -19.194411  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.09089    -19.189123  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.10225    -19.183132  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.11361    -19.176437  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.12497    -19.169037  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.13633    -19.160936  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.14770    -19.152127  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.15906    -19.142617  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.17042    -19.132404  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.18178    -19.121486  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.19314    -19.109864  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.20450    -19.097545  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.21586    -19.084523  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.22722    -19.070797  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.23859    -19.056373  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.24995    -19.041247  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.26131    -19.025414  0.643  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
