#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 180  40
# Band-Index    1
   0.00000    -14.960006  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.015
   0.01733    -14.959476  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.015
   0.03467    -14.957833  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.015
   0.05200    -14.955065  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.015
   0.06933    -14.951224  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.015
   0.08666    -14.946261  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.015
   0.10400    -14.940190  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.015
   0.12133    -14.933067  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.015
   0.13866    -14.924847  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.015
   0.15599    -14.915602  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.015
   0.17333    -14.905293  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.015
   0.19066    -14.893983  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.015
   0.20799    -14.881668  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.015
   0.22532    -14.868338  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.015
   0.24266    -14.854064  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.015
   0.25999    -14.838820  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.015
   0.27732    -14.822693  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.015
   0.29465    -14.805679  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.015
   0.31199    -14.787818  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.015
   0.32932    -14.769083  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.015
   0.34665    -14.749557  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.000  0.015
   0.36398    -14.729301  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.000  0.015
   0.38132    -14.708308  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.000  0.014
   0.39865    -14.686589  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.000  0.014
   0.41598    -14.664244  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.000  0.014
   0.43331    -14.641256  0.012  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.014
   0.45065    -14.617714  0.012  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.014
   0.46798    -14.593641  0.012  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.014
   0.48531    -14.569077  0.012  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.014
   0.50264    -14.544025  0.012  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.014
   0.51998    -14.518591  0.012  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.014
   0.53731    -14.492844  0.012  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.014
   0.55464    -14.466755  0.012  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.014
   0.57197    -14.440421  0.012  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.014
   0.58931    -14.413872  0.010  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.013
   0.60664    -14.387160  0.010  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.013
   0.62397    -14.360320  0.010  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.013
   0.64130    -14.333438  0.010  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.013
   0.65864    -14.306551  0.010  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.012
   0.67597    -14.279726  0.010  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.012
   0.69330    -14.253047  0.009  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.012
   0.71063    -14.226547  0.009  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.011
   0.72797    -14.200254  0.009  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.011
   0.74530    -14.174259  0.009  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.011
   0.76263    -14.148653  0.008  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.011
   0.77996    -14.123501  0.008  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.010
   0.79730    -14.098888  0.008  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.010
   0.81463    -14.074894  0.007  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.010
   0.83196    -14.051617  0.007  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.008
   0.84929    -14.029183  0.006  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.008
   0.86663    -14.007720  0.004  0.000  0.000  0.001  0.000  0.000  0.000  0.001  0.000  0.007
   0.88396    -13.987379  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.000  0.007
   0.90129    -13.968340  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.000  0.006
   0.91862    -13.950829  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.000  0.004
   0.93596    -13.935109  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.000  0.003
   0.95329    -13.921491  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.97062    -13.910355  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.98795    -13.902041  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   1.00529    -13.896892  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   1.02262    -13.895156  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   1.02262    -13.895156  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   1.03997    -13.894728  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   1.05732    -13.893445  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.07467    -13.891341  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.09203    -13.888371  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.10938    -13.884577  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.12673    -13.879950  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.14408    -13.874517  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.16143    -13.868281  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.17878    -13.861257  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
