#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 180  40
# Band-Index    1
   0.00000    -14.292805  0.369  0.000  0.006  0.000  0.000  0.000  0.002  0.000  0.002  0.379
   0.01733    -14.292242  0.369  0.000  0.006  0.000  0.000  0.000  0.002  0.000  0.002  0.379
   0.03467    -14.290521  0.369  0.000  0.006  0.000  0.000  0.000  0.002  0.000  0.002  0.379
   0.05200    -14.287626  0.369  0.000  0.006  0.000  0.000  0.000  0.002  0.000  0.002  0.379
   0.06933    -14.283599  0.368  0.000  0.006  0.000  0.000  0.000  0.002  0.000  0.002  0.380
   0.08666    -14.278441  0.369  0.000  0.006  0.001  0.000  0.000  0.002  0.001  0.002  0.381
   0.10400    -14.272111  0.369  0.000  0.006  0.001  0.000  0.000  0.002  0.001  0.002  0.383
   0.12133    -14.264706  0.370  0.000  0.006  0.001  0.000  0.000  0.002  0.001  0.002  0.383
   0.13866    -14.256164  0.370  0.000  0.006  0.002  0.000  0.000  0.002  0.002  0.002  0.384
   0.15599    -14.246599  0.371  0.000  0.006  0.002  0.000  0.000  0.002  0.002  0.002  0.385
   0.17333    -14.235944  0.372  0.000  0.006  0.002  0.000  0.000  0.002  0.003  0.002  0.386
   0.19066    -14.224285  0.373  0.000  0.006  0.003  0.000  0.000  0.002  0.004  0.001  0.389
   0.20799    -14.211621  0.374  0.000  0.006  0.003  0.000  0.000  0.002  0.004  0.001  0.391
   0.22532    -14.197966  0.377  0.000  0.006  0.004  0.000  0.000  0.002  0.005  0.001  0.394
   0.24266    -14.183381  0.379  0.000  0.006  0.005  0.000  0.000  0.002  0.006  0.001  0.398
   0.25999    -14.167885  0.381  0.000  0.006  0.005  0.000  0.000  0.002  0.007  0.001  0.401
   0.27732    -14.151559  0.384  0.000  0.006  0.006  0.000  0.000  0.002  0.008  0.001  0.405
   0.29465    -14.134407  0.387  0.000  0.006  0.007  0.000  0.000  0.002  0.009  0.000  0.410
   0.31199    -14.116495  0.390  0.000  0.006  0.007  0.000  0.000  0.002  0.010  0.000  0.415
