#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 180  40
# Band-Index    1
   0.00000    -14.879720  0.840  0.000  0.018  0.000  0.000  0.000  0.007  0.000  0.000  0.866
   0.01729    -14.878993  0.840  0.000  0.018  0.000  0.000  0.000  0.007  0.000  0.000  0.866
   0.03458    -14.876843  0.839  0.000  0.018  0.000  0.000  0.000  0.007  0.000  0.000  0.866
   0.05187    -14.873272  0.840  0.000  0.018  0.000  0.000  0.000  0.007  0.000  0.000  0.866
   0.06916    -14.868332  0.839  0.000  0.018  0.001  0.000  0.000  0.007  0.001  0.000  0.866
   0.08645    -14.861954  0.839  0.000  0.018  0.001  0.000  0.000  0.007  0.001  0.000  0.867
   0.10374    -14.854188  0.838  0.000  0.018  0.002  0.000  0.000  0.007  0.002  0.000  0.867
   0.12102    -14.845077  0.837  0.000  0.018  0.002  0.000  0.000  0.007  0.002  0.000  0.868
   0.13831    -14.834636  0.836  0.000  0.018  0.003  0.000  0.000  0.007  0.003  0.000  0.868
   0.15560    -14.822895  0.836  0.000  0.019  0.004  0.000  0.000  0.007  0.004  0.000  0.869
   0.17289    -14.809967  0.834  0.000  0.019  0.004  0.000  0.000  0.007  0.004  0.000  0.869
   0.19018    -14.795770  0.834  0.000  0.019  0.005  0.000  0.000  0.007  0.005  0.000  0.869
   0.20747    -14.780407  0.832  0.000  0.019  0.006  0.000  0.000  0.006  0.006  0.000  0.870
   0.22476    -14.763949  0.831  0.000  0.018  0.007  0.000  0.000  0.006  0.007  0.001  0.871
   0.24205    -14.746426  0.830  0.000  0.018  0.008  0.000  0.000  0.006  0.008  0.001  0.871
   0.25934    -14.727860  0.829  0.000  0.018  0.009  0.000  0.000  0.006  0.009  0.001  0.873
   0.27663    -14.708346  0.827  0.000  0.018  0.010  0.000  0.000  0.006  0.011  0.002  0.874
   0.29392    -14.687960  0.826  0.000  0.018  0.011  0.000  0.000  0.006  0.012  0.002  0.875
   0.31121    -14.666745  0.824  0.000  0.018  0.012  0.000  0.000  0.006  0.013  0.003  0.877
   0.32850    -14.644760  0.822  0.000  0.019  0.014  0.000  0.000  0.005  0.014  0.003  0.878
   0.34578    -14.622073  0.820  0.000  0.019  0.015  0.000  0.000  0.005  0.016  0.004  0.880
   0.36307    -14.598751  0.819  0.000  0.019  0.016  0.000  0.000  0.005  0.017  0.005  0.881
   0.38036    -14.574890  0.817  0.000  0.019  0.017  0.000  0.000  0.005  0.018  0.007  0.883
   0.39765    -14.550545  0.816  0.000  0.019  0.018  0.000  0.000  0.005  0.020  0.008  0.885
   0.41494    -14.525752  0.814  0.000  0.020  0.019  0.000  0.000  0.005  0.021  0.009  0.887
   0.43223    -14.500628  0.811  0.000  0.020  0.020  0.000  0.000  0.005  0.022  0.011  0.889
   0.44952    -14.475214  0.809  0.000  0.020  0.020  0.000  0.000  0.004  0.023  0.013  0.892
   0.46681    -14.449580  0.808  0.000  0.021  0.021  0.000  0.000  0.004  0.024  0.015  0.894
   0.48410    -14.423843  0.805  0.000  0.021  0.022  0.000  0.000  0.004  0.026  0.018  0.896
   0.50139    -14.398023  0.803  0.000  0.022  0.023  0.000  0.000  0.004  0.027  0.020  0.899
   0.51868    -14.372225  0.802  0.000  0.022  0.023  0.000  0.000  0.004  0.027  0.023  0.901
   0.53597    -14.346453  0.799  0.000  0.023  0.023  0.000  0.000  0.004  0.028  0.026  0.904
   0.55325    -14.320855  0.797  0.000  0.024  0.024  0.000  0.000  0.004  0.029  0.029  0.907
   0.57054    -14.295444  0.795  0.000  0.024  0.025  0.000  0.000  0.003  0.030  0.033  0.910
   0.58783    -14.270297  0.793  0.000  0.025  0.025  0.000  0.000  0.003  0.030  0.036  0.913
   0.60512    -14.245524  0.791  0.000  0.027  0.025  0.000  0.000  0.003  0.030  0.040  0.916
   0.62241    -14.221085  0.789  0.000  0.028  0.025  0.000  0.000  0.003  0.031  0.044  0.919
   0.63970    -14.197106  0.787  0.000  0.028  0.025  0.000  0.000  0.003  0.031  0.049  0.923
   0.65699    -14.173609  0.785  0.000  0.030  0.024  0.000  0.000  0.003  0.030  0.054  0.925
   0.67428    -14.150713  0.783  0.000  0.031  0.024  0.000  0.000  0.003  0.030  0.058  0.928
   0.69157    -14.128428  0.782  0.000  0.033  0.023  0.000  0.000  0.003  0.029  0.063  0.932
   0.70886    -14.106802  0.779  0.000  0.035  0.022  0.000  0.000  0.003  0.029  0.069  0.936
   0.72615    -14.085922  0.777  0.000  0.035  0.021  0.000  0.000  0.003  0.028  0.074  0.938
   0.74344    -14.065827  0.776  0.000  0.037  0.020  0.000  0.000  0.003  0.027  0.080  0.941
   0.76073    -14.046540  0.775  0.000  0.039  0.019  0.000  0.000  0.003  0.025  0.086  0.945
   0.77801    -14.028162  0.773  0.000  0.041  0.018  0.000  0.000  0.002  0.024  0.091  0.948
   0.79530    -14.010708  0.772  0.000  0.043  0.016  0.000  0.000  0.002  0.022  0.097  0.952
   0.81259    -13.994286  0.769  0.000  0.044  0.015  0.000  0.000  0.002  0.020  0.103  0.954
   0.82988    -13.978911  0.768  0.000  0.045  0.013  0.000  0.000  0.002  0.018  0.109  0.957
   0.84717    -13.964604  0.767  0.000  0.048  0.012  0.000  0.000  0.002  0.016  0.115  0.959
   0.86446    -13.951473  0.767  0.000  0.049  0.010  0.000  0.000  0.002  0.014  0.121  0.962
   0.88175    -13.939533  0.765  0.000  0.052  0.009  0.000  0.000  0.002  0.011  0.126  0.964
   0.89904    -13.928848  0.765  0.000  0.053  0.007  0.000  0.000  0.002  0.009  0.131  0.967
   0.91633    -13.919457  0.764  0.000  0.053  0.006  0.000  0.000  0.002  0.007  0.136  0.969
   0.93362    -13.911447  0.764  0.000  0.055  0.004  0.000  0.000  0.002  0.005  0.140  0.970
   0.95091    -13.904791  0.763  0.000  0.057  0.003  0.000  0.000  0.002  0.003  0.144  0.972
   0.96820    -13.899570  0.762  0.000  0.057  0.002  0.000  0.000  0.002  0.002  0.147  0.973
   0.98549    -13.895841  0.763  0.000  0.058  0.002  0.000  0.000  0.002  0.001  0.149  0.975
   1.00277    -13.893598  0.762  0.000  0.058  0.001  0.000  0.000  0.002  0.000  0.150  0.974
   1.02006    -13.892845  0.762  0.000  0.059  0.001  0.000  0.000  0.002  0.000  0.151  0.975
   1.02006    -13.892845  0.762  0.000  0.059  0.001  0.000  0.000  0.002  0.000  0.151  0.975
   1.03738    -13.892148  0.762  0.000  0.059  0.001  0.000  0.000  0.002  0.000  0.151  0.975
