#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 320 200
# Band-Index    1
   0.00000    -17.190807    -17.190807
   0.00398    -17.192916    -17.192916
   0.00796    -17.195052    -17.195052
   0.01193    -17.197216    -17.197216
   0.01591    -17.199407    -17.199408
   0.01989    -17.201620    -17.201620
   0.02387    -17.203866    -17.203867
   0.02785    -17.206140    -17.206140
   0.03183    -17.208435    -17.208435
   0.03580    -17.210763    -17.210763
   0.03978    -17.213118    -17.213118
   0.04376    -17.215499    -17.215499
   0.04774    -17.217908    -17.217908
   0.05172    -17.220350    -17.220350
   0.05569    -17.222801    -17.222801
   0.05967    -17.225288    -17.225289
   0.06365    -17.227799    -17.227799
   0.06763    -17.230326    -17.230327
   0.07161    -17.232892    -17.232892
   0.07558    -17.235471    -17.235471
   0.07956    -17.238082    -17.238082
   0.08354    -17.240724    -17.240724
   0.08752    -17.243390    -17.243391
   0.09150    -17.246072    -17.246072
   0.09548    -17.248796    -17.248796
   0.09945    -17.251536    -17.251536
   0.10343    -17.254295    -17.254296
   0.10741    -17.257084    -17.257085
   0.11139    -17.259890    -17.259890
   0.11537    -17.262729    -17.262730
   0.11934    -17.265598    -17.265598
   0.12332    -17.268481    -17.268481
   0.12730    -17.271387    -17.271387
   0.13128    -17.274315    -17.274316
   0.13526    -17.277271    -17.277272
   0.13923    -17.280246    -17.280246
   0.14321    -17.283241    -17.283241
   0.14719    -17.286258    -17.286259
   0.15117    -17.289297    -17.289297
   0.15515    -17.292357    -17.292357
   0.15913    -17.295438    -17.295438
   0.16310    -17.298539    -17.298539
   0.16708    -17.301661    -17.301661
   0.17106    -17.304801    -17.304802
   0.17504    -17.307963    -17.307964
   0.17902    -17.311155    -17.311155
   0.18299    -17.314355    -17.314356
   0.18697    -17.317574    -17.317574
   0.19095    -17.320802    -17.320803
   0.19493    -17.324059    -17.324059
   0.19891    -17.327325    -17.327325
   0.20288    -17.330621    -17.330621
   0.20686    -17.333931    -17.333931
   0.21084    -17.337254    -17.337254
   0.21482    -17.340598    -17.340598
   0.21880    -17.343966    -17.343966
   0.22278    -17.347342    -17.347343
   0.22675    -17.350735    -17.350735
   0.23073    -17.354136    -17.354136
   0.23471    -17.357559    -17.357559
   0.23869    -17.360985    -17.360985
   0.24267    -17.364437    -17.364437
   0.24664    -17.367903    -17.367903
   0.25062    -17.371383    -17.371383
   0.25460    -17.374881    -17.374881
   0.25858    -17.378387    -17.378388
   0.26256    -17.381905    -17.381905
   0.26653    -17.385442    -17.385442
   0.27051    -17.388985    -17.388986
   0.27449    -17.392540    -17.392540
   0.27847    -17.396098    -17.396098
   0.28245    -17.399675    -17.399675
   0.28643    -17.403262    -17.403262
   0.29040    -17.406858    -17.406858
   0.29438    -17.410458    -17.410458
   0.29836    -17.414074    -17.414075
   0.30234    -17.417700    -17.417700
   0.30632    -17.421333    -17.421333
   0.31029    -17.424975    -17.424975
   0.31427    -17.428624    -17.428624
   0.31427    -17.428624    -17.428624
   0.32125    -17.428590    -17.428590
   0.32823    -17.428493    -17.428493
