Step   Eenergy(eV)    Cv             Mz             M_tot          
FM     -73.98         0              1              0              0     
30     -71.644        0.0776096      0.973649       0.974375       
40     -70.8389       0.0804895      0.964421       0.96525        
50     -70.0382       0.0796813      0.954828       0.956          
60     -69.2391       0.0796174      0.945366       0.946801       
70     -68.4335       0.0789883      0.935901       0.937572       
80     -67.6223       0.0827909      0.926376       0.928325       
90     -66.7977       0.0834438      0.916247       0.918521       
100    -65.9671       0.0825963      0.905554       0.908396       
110    -65.1313       0.0834072      0.895294       0.898165       
120    -64.2927       0.0803943      0.884692       0.888025       
130    -63.4434       0.0856892      0.873684       0.877562       
140    -62.5945       0.0856258      0.863775       0.86751        
150    -61.7377       0.0874867      0.851843       0.856067       
160    -60.8502       0.088726       0.839426       0.844667       
170    -59.9752       0.0878921      0.827655       0.833625       
180    -59.0793       0.0916118      0.815523       0.821404       
190    -58.1737       0.0896497      0.802851       0.809587       
200    -57.259        0.0902449      0.789961       0.797013       
210    -56.3417       0.0931112      0.777198       0.784269       
220    -55.3792       0.09389        0.762133       0.769937       
230    -54.4224       0.0975534      0.747539       0.756271       
240    -53.4393       0.0977939      0.731443       0.741788       
250    -52.4207       0.0997032      0.71564        0.726723       
260    -51.4443       0.101414       0.700517       0.711472       
270    -50.4042       0.102378       0.68382        0.694877       
280    -49.3311       0.107433       0.662536       0.676751       
290    -48.2377       0.112867       0.642182       0.659836       
300    -47.1447       0.116747       0.622195       0.638705       
310    -45.9504       0.123204       0.596441       0.615751       
320    -44.6658       0.120677       0.568974       0.589256       
330    -43.3345       0.133948       0.521977       0.55015        
340    -42.0762       0.146448       0.500879       0.525677       
350    -40.4652       0.156738       0.433419       0.466962       
360    -38.7044       0.170337       0.309631       0.373457       
370    -36.9781       0.147585       0.231283       0.307398       
380    -35.645        0.141684       0.185186       0.258969       
390    -34.1562       0.131001       0.134764       0.207498       
400    -33.004        0.118654       0.102275       0.189554       
410    -31.765        0.117995       0.0978057      0.165718       
420    -30.6704       0.106496       0.0865781      0.158478       
430    -29.5418       0.105213       0.0795859      0.144251       
440    -28.5742       0.100822       0.0770917      0.134859       
450    -27.6631       0.092875       0.0737666      0.125456       
460    -26.7079       0.0850167      0.0580491      0.11112        
470    -25.9062       0.0834573      0.0587822      0.113237       
480    -25.0011       0.0770024      0.0552756      0.104616       
490    -24.3362       0.0748315      0.0513659      0.0991134      
500    -23.6384       0.0716707      0.0496484      0.0931511      
510    -22.8977       0.0667204      0.047626       0.0885083      
520    -22.3049       0.0610168      0.0470742      0.0884261      
530    -21.6845       0.0591638      0.043892       0.084706       
540    -21.1242       0.0544588      0.0429226      0.0833089      
550    -20.5213       0.0549429      0.0422839      0.082194       
560    -19.9435       0.0520666      0.0397176      0.0763778      
570    -19.4553       0.0473335      0.0393084      0.0749485      
580    -18.9813       0.0466789      0.0368575      0.0730396      
590    -18.5958       0.0437553      0.0364026      0.0725476      
600    -18.1366       0.042101       0.0344411      0.0707956      
610    -17.719        0.0398614      0.0351663      0.0680079      
620    -17.3322       0.0374342      0.0339489      0.0673765      
630    -16.9115       0.0366681      0.0351991      0.0660401      
640    -16.6031       0.0343128      0.0323784      0.0640036      
650    -16.2373       0.033352       0.0331005      0.0637273      
660    -15.924        0.0325868      0.0329894      0.0630404      
670    -15.5814       0.0315891      0.0310997      0.0616697      
680    -15.3189       0.0311544      0.0310221      0.060447       
690    -14.9905       0.029386       0.0298378      0.0593867      
700    -14.7131       0.0274988      0.0300012      0.058418       
710    -14.4312       0.0265766      0.0301069      0.0589333      
720    -14.1814       0.0263626      0.0296435      0.0581166      
730    -13.9191       0.0243054      0.0288908      0.0568473      
740    -13.6663       0.0243151      0.0288765      0.0563227      
750    -13.4538       0.0221973      0.0282762      0.0559677      
760    -13.2103       0.0224716      0.0276262      0.0535373      
770    -13.0231       0.0214971      0.0275288      0.0549476      
780    -12.7559       0.0205523      0.0266957      0.0530634      
790    -12.5662       0.0198014      0.0262713      0.0519961      
800    -12.3677       0.019416       0.0264292      0.0514529      
810    -12.1785       0.0188176      0.0257311      0.0513172      
