     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -21.37234     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.24934     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.12534     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.00234     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.87934     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.75634     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.63334     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.51034     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.38734     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.26434     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.14034     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.01734     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.89434     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.77134     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.64834     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.52534     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.40234     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.27834    -1.74071    -0.01123    -0.01837    -0.00889     0.00000     0.00000     0.00000     0.00000     0.00000    -1.77920
   -19.15534    -1.66919    -0.01677    -0.02938    -0.01250     0.00000     0.00000     0.00000     0.00000     0.00000    -1.72783
   -19.03234    -1.86147    -0.02837    -0.03629    -0.02369     0.00000     0.00000     0.00000     0.00000     0.00000    -1.94983
   -18.90934    -1.04925    -0.02026    -0.01624    -0.01951     0.00000     0.00000     0.00000     0.00000     0.00000    -1.10526
   -18.78634    -1.24038    -0.03171    -0.02450    -0.03037     0.00000     0.00000     0.00000     0.00000     0.00000    -1.32696
   -18.66334    -1.33162    -0.04096    -0.02877    -0.03919     0.00000     0.00000     0.00000     0.00000     0.00000    -1.44054
   -18.54034    -0.61442    -0.02291    -0.01815    -0.02062     0.00000     0.00000     0.00000     0.00000     0.00000    -0.67611
   -18.41734    -0.23258    -0.00793    -0.00107    -0.00778     0.00000     0.00000     0.00000     0.00000     0.00000    -0.24937
   -18.29334    -0.50718    -0.01872    -0.00392    -0.01839     0.00000     0.00000     0.00000     0.00000     0.00000    -0.54821
   -18.17034    -1.95896    -0.04915    -0.04692    -0.04436     0.00000     0.00000     0.00000     0.00000     0.00000    -2.09938
   -18.04734    -1.08576    -0.03826    -0.02556    -0.03575     0.00000     0.00000     0.00000     0.00000     0.00000    -1.18533
   -17.92434    -2.48638    -0.08638    -0.07823    -0.07258     0.00000     0.00000     0.00000     0.00000     0.00000    -2.72357
   -17.80134    -1.05750    -0.04309    -0.03643    -0.03846     0.00000     0.00000     0.00000     0.00000     0.00000    -1.17548
   -17.67834    -0.89599    -0.03106    -0.04016    -0.02779     0.00000     0.00000     0.00000     0.00000     0.00000    -0.99500
   -17.55534    -0.92519    -0.03958    -0.04378    -0.03637     0.00000     0.00000     0.00000     0.00000     0.00000    -1.04492
   -17.43134    -1.00052    -0.04636    -0.04967    -0.04145     0.00000     0.00000     0.00000     0.00000     0.00000    -1.13800
   -17.30834    -0.87586    -0.04227    -0.04862    -0.03824     0.00000     0.00000     0.00000     0.00000     0.00000    -1.00500
   -17.18534    -0.70015    -0.03515    -0.04465    -0.03065     0.00000     0.00000     0.00000     0.00000     0.00000    -0.81061
   -17.06234    -1.60732    -0.10327    -0.07350    -0.09336     0.00000     0.00000     0.00000     0.00000     0.00000    -1.87745
   -16.93934    -1.29240    -0.07915    -0.06717    -0.07217     0.00000     0.00000     0.00000     0.00000     0.00000    -1.51089
   -16.81634    -1.14410    -0.07043    -0.07158    -0.06336     0.00000     0.00000     0.00000     0.00000     0.00000    -1.34946
   -16.69334    -1.90393    -0.11908    -0.15234    -0.10138     0.00000     0.00000     0.00000     0.00000     0.00000    -2.27673
   -16.57034    -1.10956    -0.07587    -0.06562    -0.07704     0.00000     0.00000     0.00000     0.00000     0.00000    -1.32808
   -16.44634    -1.12468    -0.10056    -0.05578    -0.09406     0.00000     0.00000     0.00000     0.00000     0.00000    -1.37508
   -16.32334    -1.07004    -0.09074    -0.07327    -0.08469     0.00000     0.00000     0.00000     0.00000     0.00000    -1.31874
   -16.20034    -1.51352    -0.12300    -0.12532    -0.10953     0.00000     0.00000     0.00000     0.00000     0.00000    -1.87137
   -16.07734    -1.45409    -0.11925    -0.12607    -0.08929     0.00000     0.00000     0.00000     0.00000     0.00000    -1.78870
   -15.95434    -1.00630    -0.08944    -0.06084    -0.08371     0.00000     0.00000     0.00000     0.00000     0.00000    -1.24029
   -15.83134    -0.69726    -0.05182    -0.05407    -0.06334     0.00000     0.00000     0.00000     0.00000     0.00000    -0.86649
   -15.70834    -1.32383    -0.12749    -0.08929    -0.12625     0.00000     0.00000     0.00000     0.00000     0.00000    -1.66686
   -15.58434    -1.99644    -0.18460    -0.14939    -0.20809     0.00000     0.00000     0.00000     0.00000     0.00000    -2.53852
   -15.46134    -2.16269    -0.21101    -0.21617    -0.18039     0.00000     0.00000     0.00000     0.00000     0.00000    -2.77026
   -15.33834    -0.67703    -0.05662    -0.07560    -0.06175     0.00000     0.00000     0.00000     0.00000     0.00000    -0.87099
   -15.21534    -0.32175    -0.02916    -0.04312    -0.02600     0.00000     0.00000     0.00000     0.00000     0.00000    -0.42003
   -15.09234    -1.82038    -0.23696    -0.16352    -0.22216     0.00000     0.00000     0.00000     0.00000     0.00000    -2.44302
   -14.96934    -0.95477    -0.10849    -0.11903    -0.09210     0.00000     0.00000     0.00000     0.00000     0.00000    -1.27438
   -14.84634    -0.97590    -0.11390    -0.11588    -0.10759     0.00000     0.00000     0.00000     0.00000     0.00000    -1.31327
   -14.72334    -0.96026    -0.12594    -0.10400    -0.11739     0.00000     0.00000     0.00000     0.00000     0.00000    -1.30759
   -14.59934    -0.85705    -0.11827    -0.09188    -0.10391     0.00000     0.00000     0.00000     0.00000     0.00000    -1.17110
   -14.47634    -1.39554    -0.18114    -0.15847    -0.18857     0.00000     0.00000     0.00000     0.00000     0.00000    -1.92372
   -14.35334    -1.31215    -0.18084    -0.16861    -0.14176     0.00000     0.00000     0.00000     0.00000     0.00000    -1.80335
   -14.23034    -1.71204    -0.17988    -0.24993    -0.14864     0.00000     0.00000     0.00000     0.00000     0.00000    -2.29049
   -14.10734    -0.79282    -0.11820    -0.08347    -0.10348     0.00000     0.00000     0.00000     0.00000     0.00000    -1.09797
   -13.98434    -0.83443    -0.11587    -0.08545    -0.10323     0.00000     0.00000     0.00000     0.00000     0.00000    -1.13898
   -13.86134    -1.99599    -0.27987    -0.17849    -0.23671     0.00000     0.00000     0.00000     0.00000     0.00000    -2.69106
