      #Energy        TDOS-UP        TDOS-DOWN
     -21.37234       0.00000       0.00000
     -21.24934       0.00000       0.00000
     -21.12534       0.00000       0.00000
     -21.00234       0.00000       0.00000
     -20.87934       0.00000       0.00000
     -20.75634       0.00000       0.00000
     -20.63334       0.00000       0.00000
     -20.51034       0.00000       0.00000
     -20.38734       0.00000       0.00000
     -20.26434       0.00000       0.00000
     -20.14034       0.00000       0.00000
     -20.01734       0.00000       0.00000
     -19.89434       0.00000       0.00000
     -19.77134       0.00000       0.00000
     -19.64834       0.00000       0.00000
     -19.52534       0.00000       0.00000
     -19.40234       0.00000       0.00000
     -19.27834       2.70500      -2.70800
     -19.15534       2.61100      -2.61200
     -19.03234       2.94200      -2.93500
     -18.90934       1.65900      -1.66600
     -18.78634       1.98500      -1.98700
     -18.66334       2.14300      -2.14900
     -18.54034       1.01300      -1.00000
     -18.41734       0.37380      -0.37870
     -18.29334       0.82610      -0.82980
     -18.17034       3.27700      -3.23500
     -18.04734       1.81200      -1.80700
     -17.92434       4.17700      -4.16400
     -17.80134       1.78900      -1.78600
     -17.67834       1.51700      -1.52100
     -17.55534       1.58100      -1.58400
     -17.43134       6.93100      -1.72000
     -17.30834       1.52200      -1.51500
     -17.18534       1.22400      -1.22100
     -17.06234       2.79900      -2.80900
     -16.93934       2.27400      -2.27200
     -16.81634       2.02800      -2.02600
     -16.69334       3.43300      -3.41700
     -16.57034       1.97000      -1.98500
     -16.44634       2.04200      -2.03200
     -16.32334       1.93800      -1.94500
     -16.20034       2.77300      -2.76000
     -16.07734       2.70300      -2.72900
     -15.95434       1.91500      -2.31700
     -15.83134       6.08400      -6.09100
     -15.70834      10.58000      -8.11800
     -15.58434       8.31200      -6.56100
     -15.46134       6.59500     -10.93000
     -15.33834      11.17000     -10.13000
     -15.21534      32.37000     -16.64000
     -15.09234      14.31000      -7.95500
     -14.96934       4.45600      -2.71400
     -14.84634       2.54000      -2.18000
     -14.72334       2.07700      -1.97700
     -14.59934       1.72400      -1.69800
     -14.47634       2.75000      -2.75700
     -14.35334       2.58500      -2.57900
     -14.23034       3.26700      -3.25100
     -14.10734       1.55800      -1.55700
     -13.98434       1.59100      -1.60600
     -13.86134       3.75700      -3.77300
     -13.73734       2.09600      -2.08800
     -13.61434       1.83400      -1.83200
     -13.49134       1.46200      -1.45800
     -13.36834       0.71410      -0.71540
     -13.24534       1.91200      -1.90400
     -13.12234       1.15300      -1.14800
     -12.99934       1.29300      -1.29400
     -12.87634       1.34600      -1.27000
     -12.75234       2.99700      -3.03700
     -12.62934       2.94600      -2.94100
     -12.50634       2.00900      -2.00200
     -12.38334       1.62500      -1.62400
     -12.26034       2.33100      -2.32800
     -12.13734       2.37800      -2.37400
     -12.01434       2.84700      -2.84500
     -11.89034       2.30700      -2.30000
     -11.76734       6.43000      -6.28600
     -11.64434       1.27000      -1.27000
     -11.52134       1.60400      -1.60900
     -11.39834       2.63800      -2.64300
     -11.27534       2.80400      -2.76300
     -11.15234       2.25700      -2.25700
     -11.02934       2.20500      -2.20500
     -10.90534       1.59400      -1.59100
     -10.78234       1.50800      -1.50700
     -10.65934       2.01400      -2.01700
     -10.53634       3.86300      -3.85200
     -10.41334       1.83500      -1.82900
     -10.29034       1.41200      -1.41500
     -10.16734       2.43000      -2.43900
     -10.04334       2.39500      -2.39400
      -9.92034       2.09200      -2.05900
      -9.79734       2.53300      -2.52700
      -9.67434       1.85600      -1.85000
      -9.55134       2.23700      -2.33100
      -9.42834       2.51500      -2.50600
      -9.30534       1.74100      -1.75100
      -9.18234       3.08100      -3.08800
      -9.05834       7.79000      -7.82800
      -8.93534       3.05400      -3.01500
      -8.81234       0.95210      -0.94050
      -8.68934       0.57630      -0.58040
      -8.56634       2.27400      -2.28400
      -8.44334       3.26200      -3.25800
      -8.32034       2.47400      -2.46800
      -8.19634       5.66500      -5.66100
      -8.07334       2.57900      -2.57300
      -7.95034       2.65500      -2.65400
      -7.82734       2.45000      -2.44900
      -7.70434       4.51300      -4.51500
      -7.58134       3.17500      -3.23500
      -7.45834       7.42000      -7.31400
      -7.33534       3.83700      -3.76200
      -7.21134       5.93400      -5.90800
      -7.08834       4.95000      -4.94500
      -6.96534       7.81900      -7.82200
      -6.84234       5.36100      -5.34900
      -6.71934       7.37800      -7.39500
      -6.59634       5.31200      -5.30200
      -6.47334       4.48100      -4.47100
