     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -21.39378     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.26978     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.14478     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.02078     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.89678     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.77278     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.64878     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.52478     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.40078     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.27678     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.15178     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.02778     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.90378     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.77978     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.65578     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.53178     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.40778     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.28378    -1.75387    -0.01027    -0.00118    -0.03020     0.00000     0.00000     0.00000     0.00000     0.00000    -1.79552
   -19.15878    -1.56150    -0.01113    -0.00114    -0.04906     0.00000     0.00000     0.00000     0.00000     0.00000    -1.62284
   -19.03478    -1.79864    -0.03215    -0.00139    -0.05325     0.00000     0.00000     0.00000     0.00000     0.00000    -1.88544
   -18.91078    -1.16217    -0.03457    -0.00095    -0.03078     0.00000     0.00000     0.00000     0.00000     0.00000    -1.22847
   -18.78678    -1.25362    -0.05109    -0.00112    -0.03792     0.00000     0.00000     0.00000     0.00000     0.00000    -1.34375
   -18.66278    -1.07815    -0.05266    -0.00103    -0.03880     0.00000     0.00000     0.00000     0.00000     0.00000    -1.17064
   -18.53878    -0.45201    -0.02508    -0.00046    -0.02097     0.00000     0.00000     0.00000     0.00000     0.00000    -0.49851
