      #Energy        TDOS-UP        TDOS-DOWN
     -21.39378       0.00000       0.00000
     -21.26978       0.00000       0.00000
     -21.14478       0.00000       0.00000
     -21.02078       0.00000       0.00000
     -20.89678       0.00000       0.00000
     -20.77278       0.00000       0.00000
     -20.64878       0.00000       0.00000
     -20.52478       0.00000       0.00000
     -20.40078       0.00000       0.00000
     -20.27678       0.00000       0.00000
     -20.15178       0.00000       0.00000
     -20.02778       0.00000       0.00000
     -19.90378       0.00000       0.00000
     -19.77978       0.00000       0.00000
     -19.65578       0.00000       0.00000
     -19.53178       0.00000       0.00000
     -19.40778       0.00000       0.00000
     -19.28378       2.72900      -2.73100
     -19.15878       2.44500      -2.44700
     -19.03478       2.84400      -2.83900
     -18.91078       1.84200      -1.84800
     -18.78678       2.00900      -2.01100
     -18.66278       1.75100      -1.74300
     -18.53878       0.75290      -0.73680
     -18.41478       0.47210      -0.47540
     -18.29078       0.89870      -0.90140
     -18.16578       2.10500      -2.10600
     -18.04178       2.41800      -2.43300
     -17.91778       3.88600      -3.87800
     -17.79378       2.86300      -2.85300
     -17.66978       1.63000      -1.63300
     -17.54578       1.64400      -1.64600
     -17.42178       2.95900      -2.97200
     -17.29778       1.49500      -1.49300
     -17.17278       1.15800      -1.15600
     -17.04878       2.78800      -2.79600
     -16.92478       2.21400      -2.21200
     -16.80078       1.98300      -1.98200
     -16.67678       2.91700      -2.88500
     -16.55278       2.31300      -2.31500
     -16.42878       1.71500      -1.70700
     -16.30478       2.33100      -2.33600
     -16.17978       2.34200      -2.33300
     -16.05578       1.72800      -1.76000
     -15.93178       1.88300      -4.69200
     -15.80778       9.31800      -4.46200
     -15.68378      10.43000      -8.75200
     -15.55978       5.65400      -3.24000
     -15.43578       7.22500      -9.97600
     -15.31078      14.54000     -29.75000
     -15.18678      29.94000     -14.32000
     -15.06278      21.95000      -4.30900
     -14.93878       3.93900      -2.76700
     -14.81478       2.20300      -1.97700
     -14.69078       1.90600      -1.85500
     -14.56678       2.69800      -2.68500
     -14.44278       2.82400      -2.82000
     -14.31778       2.35200      -2.34800
     -14.19378       2.23800      -2.23700
     -14.06978       1.49400      -1.49000
     -13.94578       2.41400      -2.42700
     -13.82178       3.56900      -4.75500
     -13.69778       1.89500      -1.89400
     -13.57378       1.31600      -1.31500
     -13.44978       1.28800      -1.28500
     -13.32478       2.23300      -2.23700
     -13.20078       1.82700      -1.82500
     -13.07678       0.86440      -0.85970
     -12.95278       1.32300      -1.32400
     -12.82878       1.17300      -1.17200
     -12.70478       3.42500      -3.42500
     -12.58078       2.34700      -2.34100
     -12.45678       1.72700      -1.72500
     -12.33178       1.60700      -1.60700
     -12.20778       2.40500      -2.40400
     -12.08378     370.50000      -2.51600
     -11.95978       3.07600      -3.07300
     -11.83578       1.79300      -1.79900
     -11.71178       1.28000      -1.28000
     -11.58778       1.33700      -1.34000
     -11.46378       2.53600      -2.54000
     -11.33878       3.43600      -3.47500
     -11.21478       2.41300      -2.41400
     -11.09078       2.22300      -2.22300
     -10.96678       1.91800      -1.76400
     -10.84278       1.54700      -1.54600
     -10.71878       1.82100      -1.82600
     -10.59478       2.42400      -2.42400
     -10.47078       2.05400      -2.04900
     -10.34578       1.42800      -1.42700
     -10.22178       2.14300      -2.15000
     -10.09778       2.64400      -2.64500
      -9.97378       2.25800      -2.25200
      -9.84978       2.73800      -2.73300
      -9.72578       1.57200      -1.58600
      -9.60178       1.68100      -1.68000
      -9.47678       2.71800      -2.70900
      -9.35278       1.40200      -1.40400
      -9.22878       2.91600      -2.92300
      -9.10478       5.31400      -5.35600
      -8.98078       3.90900      -3.90800
      -8.85678       1.21100      -1.20200
      -8.73278       0.48010      -0.48310
      -8.60878       2.06300      -2.07000
      -8.48378       3.45100      -3.44800
      -8.35978       2.60100      -2.59700
      -8.23578       6.08900      -6.08000
      -8.11178       2.26600      -2.27400
      -7.98778       2.66700      -2.66700
      -7.86378       2.45700      -2.45600
      -7.73978       4.55100      -4.55100
      -7.61578       3.07200      -3.06000
      -7.49078       5.43300      -5.48500
      -7.36678       4.65100      -4.61600
      -7.24278       6.14500      -6.14300
      -7.11878       5.00200      -5.00000
      -6.99478       7.63900      -7.66300
      -6.87078       5.44700      -5.43600
      -6.74678       7.25900      -7.26400
      -6.62278       4.99700      -5.32000
      -6.49778       4.47400      -4.46100
      -6.37378       5.20500      -5.18300
      -6.24978       4.29800      -4.29100
      -6.12578       4.42700      -4.41300
      -6.00178       6.93300      -6.66800
      -5.87778       5.29000      -4.98300
      -5.75378      22.44000      -4.71300
      -5.62978       4.87000      -1.60800
      -5.50478      11.25000      -6.34400
      -5.38078      21.43000     -10.18000
      -5.25678       5.95100      -6.64000
      -5.13278      14.90000      -6.09400
      -5.00878       7.16200     -31.74000
      -4.88478      30.24000      -7.72000
      -4.76078       9.18100      -6.12000
      -4.63678      11.63000     -15.42000
      -4.51178      10.35000     -15.52000
      -4.38778      15.93000     -12.26000
      -4.26378      15.68000     -19.17000
      -4.13978       8.47100     -20.27000
      -4.01578      21.50000     -18.00000
      -3.89178      15.43000     -14.01000
      -3.76778    1001.00000      -6.06400
      -3.64278      25.19000     -20.27000
      -3.51878      12.76000     -10.31000
      -3.39478      16.62000     -18.16000
      -3.27078      16.49000     -16.22000
      -3.14678       5.62200     -14.49000
      -3.02278      15.26000     -16.33000
      -2.89878      23.37000     -13.02000
      -2.77478       8.19700     -12.87000
      -2.64978      21.84000     -41.08000
      -2.52578       5.78300     -19.02000
      -2.40178       9.30500     -13.53000
      -2.27778      13.55000      -5.16900
      -2.15378      27.34000     -20.23000
      -2.02978      11.41000      -9.31500
      -1.90578      12.67000      -3.10500
      -1.78178       3.25800      -2.41700
      -1.65678       5.93300      -6.08000
      -1.53278       1.64600      -1.61100
      -1.40878       1.16900      -1.15400
      -1.28478       0.66640      -0.66550
      -1.16078       1.52300      -1.51400
      -1.03678       1.17500      -1.16400
      -0.91278       1.11000      -1.10900
      -0.78878       0.63150      -0.62680
      -0.66378       1.01000      -1.00100
      -0.53978       1.06200      -1.05200
      -0.41578       0.86450      -0.85130
      -0.29178       0.82680      -0.76950
      -0.16778       1.43700      -1.13900
      -0.04378       0.25520      -0.39400
       0.08022      30.38000      -0.24830
       0.20422       7.74700      -0.10260
       0.32922      17.09000      -0.59190
       0.45322       1.31400      -1.37000
       0.57722       2.11500      -1.84400
       0.70122       1.06300      -1.05800
       0.82522       1.20800      -1.20900
       0.94922       1.46700      -1.48300
       1.07322       1.82100      -1.82600
       1.19722       2.18100      -2.19000
       1.32222       2.47000      -2.61800
       1.44622       1.67300      -1.63300
       1.57022       1.14100      -0.94290
       1.69422       0.91410      -2.07700
       1.81822       1.91700     -21.34000
       1.94222       2.15600     -17.82000
       2.06622       1.71500     -37.73000
       2.19122       1.59200     -22.27000
       2.31522       1.52300      -8.08500
       2.43922       1.43200     -41.86000
       2.56322       1.51900      -3.34000
       2.68722       5.40700      -6.51200
       2.81122       1.34300      -1.53000
       2.93522       2.95200      -2.99100
       3.05922       0.98150      -0.98680
       3.18422       0.85700      -0.84290
       3.30822       2.86900      -2.81200
       3.43222       3.10200      -3.04700
       3.55622       1.48200      -1.48800
       3.68022       1.66000      -1.18700
       3.80422       2.03000      -1.07800
       3.92822       2.28700      -1.59200
       4.05222       3.42700      -1.91300
       4.17722       5.41200      -2.64700
       4.30122       6.95900      -5.30800
       4.42522       5.13500      -5.51500
       4.54922       5.70800      -5.78300
       4.67322       5.24200      -4.17000
       4.79722       9.99900      -4.42000
       4.92122       6.50400      -3.03000
       5.04522      14.81000      -3.62800
       5.17022       8.40600      -6.99000
       5.29422       9.73000      -9.65800
       5.41822      11.15000      -7.91200
       5.54222      14.72000     -11.20000
       5.66622       9.82500     -10.09000
       5.79022       8.29200     -10.08000
       5.91422       7.11900     -25.61000
       6.03822      11.22000     -15.29000
       6.16322      14.67000     -11.92000
       6.28722      22.17000     -21.67000
       6.41122      19.07000     -12.72000
       6.53522      17.89000     -12.71000
       6.65922      14.86000     -18.32000
       6.78322      16.26000     -18.34000
       6.90722      30.11000     -11.43000
       7.03122      30.75000     -20.21000
       7.15622      16.77000     -17.53000
       7.28022      15.29000     -13.52000
       7.40422      17.70000     -15.35000
       7.52822      43.31000     -21.92000
       7.65222      20.59000     -16.35000
       7.77622      22.03000     -17.27000
       7.90022      29.29000     -21.41000
       8.02522      26.22000     -24.67000
       8.14922      20.97000     -22.75000
       8.27322      23.87000     -32.37000
       8.39722      22.90000     -26.15000
       8.52122      23.80000     -21.19000
       8.64522      27.85000     -22.87000
       8.76922      31.18000     -22.46000
       8.89322      21.11000     -43.52000
       9.01822      24.16000     -28.01000
       9.14222      19.66000     -35.07000
       9.26622      30.63000     -30.94000
       9.39022      45.00000     -22.96000
       9.51422      21.92000     -21.93000
       9.63822      25.31000     -24.18000
       9.76222      16.35000     -24.57000
       9.88622      26.48000     -26.82000
      10.01122      21.10000     -25.96000
      10.13522      54.09000     -11.66000
      10.25922      27.37000     -25.04000
      10.38322      16.26000     -27.26000
      10.50722      18.14000     -29.37000
      10.63122      20.62000     -32.38000
      10.75522      22.44000     -17.17000
      10.87922      23.40000     -17.78000
      11.00422      18.48000     -15.72000
      11.12822      25.87000     -21.41000
      11.25222      25.79000     -18.85000
      11.37622      24.90000     -22.36000
      11.50022      24.82000     -27.71000
      11.62422      21.18000     -25.14000
      11.74822      21.25000     -25.13000
      11.87222      24.39000     -25.11000
      11.99722      25.16000     -26.04000
      12.12122      26.19000     -23.44000
      12.24522      26.44000     -21.72000
      12.36922      36.23000     -25.34000
      12.49322      21.16000     -27.33000
      12.61722      22.30000     -28.97000
      12.74122      22.45000     -22.64000
      12.86522      26.58000     -29.57000
      12.99022      25.14000     -23.79000
      13.11422      23.28000     -22.40000
      13.23822      13.08000     -25.84000
      13.36222       6.33400     -28.76000
      13.48622       0.00000     -25.93000
      13.61022       0.00000     -19.02000
      13.73422       0.00000      -4.51000
      13.85922       0.00000       0.00000
      13.98322       0.00000       0.00000
      14.10722       0.00000       0.00000
      14.23122       0.00000       0.00000
      14.35522       0.00000       0.00000
      14.47922       0.00000       0.00000
      14.60322       0.00000       0.00000
      14.72722       0.00000       0.00000
      14.85222       0.00000       0.00000
      14.97622       0.00000       0.00000
      15.10022       0.00000       0.00000
      15.22422       0.00000       0.00000
      15.34822       0.00000       0.00000
      15.47222       0.00000       0.00000
      15.59622       0.00000       0.00000
      15.72022       0.00000       0.00000
      15.84522       0.00000       0.00000
