     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -20.38035     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.28335     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.18735     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.09035     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.99335     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.89735     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.80035     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.70435     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.60735     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.51035     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.41435     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.31735     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.22035     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.12435     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.02735    -0.00088    -0.00000    -0.00006    -0.00000    -0.00000    -0.00000    -0.00001    -0.00000    -0.00000    -0.00095
   -18.93135    -0.00092    -0.00000    -0.00006    -0.00000    -0.00000    -0.00000    -0.00001    -0.00000    -0.00000    -0.00099
   -18.83435    -0.00055    -0.00000    -0.00004    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00059
   -18.73735    -0.00078    -0.00000    -0.00005    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00083
   -18.64135    -0.00102    -0.00000    -0.00006    -0.00000    -0.00000    -0.00000    -0.00001    -0.00000    -0.00000    -0.00110
   -18.54435    -0.00027    -0.00000    -0.00002    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00029
   -18.44735    -0.00072    -0.00000    -0.00004    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00077
   -18.35135    -0.00093    -0.00000    -0.00005    -0.00000    -0.00000    -0.00000    -0.00001    -0.00000    -0.00000    -0.00099
   -18.25435    -0.00048    -0.00000    -0.00002    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00051
   -18.15835    -0.00054    -0.00000    -0.00003    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00057
   -18.06135    -0.00022    -0.00000    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00024
   -17.96435    -0.00106    -0.00000    -0.00005    -0.00000    -0.00000    -0.00000    -0.00001    -0.00000    -0.00000    -0.00111
   -17.86835    -0.00068    -0.00000    -0.00003    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00071
   -17.77135    -0.00022    -0.00000    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00023
   -17.67435    -0.00075    -0.00000    -0.00003    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00079
   -17.57835    -0.00119    -0.00000    -0.00004    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00125
   -17.48135    -0.00080    -0.00000    -0.00002    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00084
   -17.38535    -0.00175    -0.00001    -0.00005    -0.00001    -0.00000    -0.00000    -0.00001    -0.00000    -0.00000    -0.00181
   -17.28835    -0.00118    -0.00000    -0.00003    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00122
   -17.19135    -0.00097    -0.00000    -0.00002    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00100
   -17.09535    -0.00138    -0.00000    -0.00003    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00142
   -16.99835    -0.00124    -0.00000    -0.00002    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00127
   -16.90135    -0.00167    -0.00000    -0.00003    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00171
   -16.80535    -0.00176    -0.00000    -0.00003    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00180
   -16.70835    -0.00235    -0.00000    -0.00003    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00240
   -16.61235    -0.00235    -0.00000    -0.00003    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00239
   -16.51535    -0.00235    -0.00000    -0.00002    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00239
   -16.41835    -0.00204    -0.00000    -0.00002    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00207
   -16.32235    -0.00632    -0.00001    -0.00004    -0.00001    -0.00000    -0.00000    -0.00001    -0.00000    -0.00000    -0.00640
   -16.22535    -0.00194    -0.00000    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00195
   -16.12835    -0.00358    -0.00000    -0.00001    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00361
   -16.03235    -0.36378    -0.00027    -0.00128    -0.00028    -0.00003    -0.00004    -0.00000    -0.00004    -0.00003    -0.36575
   -15.93535    -2.12598    -0.00155    -0.00749    -0.00165    -0.00017    -0.00021    -0.00000    -0.00022    -0.00017    -2.13744
   -15.83935   -13.02340    -0.01137    -0.04401    -0.01124    -0.00100    -0.00137    -0.00001    -0.00137    -0.00101   -13.09478
   -15.74235   -11.03430    -0.01186    -0.03499    -0.01045    -0.00083    -0.00126    -0.00001    -0.00118    -0.00083   -11.09571
   -15.64535   -10.04790    -0.01152    -0.02940    -0.01110    -0.00073    -0.00117    -0.00002    -0.00118    -0.00075   -10.10377
   -15.54935    -3.86840    -0.00387    -0.01027    -0.00437    -0.00025    -0.00041    -0.00003    -0.00050    -0.00029    -3.88837
   -15.45235   -11.41540    -0.00974    -0.02695    -0.01136    -0.00056    -0.00104    -0.00011    -0.00154    -0.00082   -11.46752
   -15.35535   -12.56840    -0.00901    -0.02416    -0.00885    -0.00076    -0.00129    -0.00027    -0.00126    -0.00070   -12.61469
   -15.25935   -42.01530    -0.01851    -0.05036    -0.01785    -0.00260    -0.00336    -0.00160    -0.00334    -0.00260   -42.11552
   -15.16235   -33.06330    -0.01010    -0.02153    -0.00956    -0.00257    -0.00160    -0.00053    -0.00163    -0.00239   -33.11321
