     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -20.38035     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.28335     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.18735     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.09035     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.99335     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.89735     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.80035     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.70435     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.60735     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.51035     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.41435     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.31735     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.22035     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.12435     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.02735     0.00083     0.00000     0.00006     0.00000     0.00000     0.00000     0.00001     0.00000     0.00000     0.00089
   -18.93135     0.00081     0.00000     0.00006     0.00000     0.00000     0.00000     0.00001     0.00000     0.00000     0.00087
   -18.83435     0.00052     0.00000     0.00004     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00056
   -18.73735     0.00072     0.00000     0.00005     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00078
   -18.64135     0.00076     0.00000     0.00005     0.00000     0.00000     0.00000     0.00001     0.00000     0.00000     0.00081
   -18.54435     0.00026     0.00000     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00027
   -18.44735     0.00065     0.00000     0.00004     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00069
   -18.35135     0.00087     0.00000     0.00005     0.00000     0.00000     0.00000     0.00001     0.00000     0.00000     0.00093
   -18.25435     0.00046     0.00000     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00049
   -18.15835     0.00053     0.00000     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00057
   -18.06135     0.00020     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00021
   -17.96435     0.00096     0.00000     0.00004     0.00000     0.00000     0.00000     0.00001     0.00000     0.00000     0.00102
   -17.86835     0.00064     0.00000     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00068
   -17.77135     0.00020     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00021
   -17.67435     0.00070     0.00000     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00073
   -17.57835     0.00107     0.00000     0.00004     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00112
   -17.48135     0.00074     0.00000     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00077
   -17.38535     0.00057     0.00000     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00060
   -17.28835     0.00106     0.00000     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00110
   -17.19135     0.00087     0.00000     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00090
   -17.09535     0.00124     0.00000     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00128
   -16.99835     0.00111     0.00000     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00115
   -16.90135     0.00146     0.00000     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00150
   -16.80535     0.00154     0.00000     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00159
   -16.70835     0.00204     0.00000     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00209
   -16.61235     0.00263     0.00001     0.00004     0.00001     0.00000     0.00000     0.00001     0.00000     0.00000     0.00269
   -16.51535     0.00200     0.00000     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00204
   -16.41835     0.00177     0.00000     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00180
   -16.32235     0.00473     0.00001     0.00004     0.00001     0.00000     0.00000     0.00001     0.00000     0.00000     0.00480
   -16.22535     0.00142     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00144
   -16.12835     0.00257     0.00000     0.00001     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00260
   -16.03235     0.19730     0.00015     0.00073     0.00016     0.00001     0.00002     0.00000     0.00002     0.00001     0.19841
   -15.93535     0.96478     0.00073     0.00355     0.00078     0.00006     0.00007     0.00000     0.00007     0.00006     0.97010
   -15.83935     4.97781     0.00403     0.01820     0.00391     0.00028     0.00037     0.00001     0.00037     0.00029     5.00527
   -15.74235     8.15840     0.00753     0.02847     0.00766     0.00045     0.00064     0.00001     0.00064     0.00045     8.20426
   -15.64535     8.76280     0.00989     0.02820     0.00954     0.00047     0.00075     0.00001     0.00074     0.00046     8.81288
   -15.54935    11.55450     0.01266     0.03429     0.01465     0.00060     0.00096     0.00003     0.00111     0.00061    11.61942
   -15.45235     4.24040     0.00491     0.01113     0.00437     0.00019     0.00039     0.00003     0.00038     0.00022     4.26202
   -15.35535     7.90130     0.00748     0.01879     0.00785     0.00030     0.00065     0.00007     0.00073     0.00036     7.93752
   -15.25935    11.48010     0.00867     0.02213     0.00843     0.00046     0.00087     0.00025     0.00087     0.00046    11.52223
   -15.16235    35.90640     0.01674     0.04311     0.01704     0.00125     0.00193     0.00146     0.00219     0.00169    35.99182
   -15.06635   176.88260     0.05001     0.09531     0.04234     0.01094     0.00453     0.00272     0.00497     0.00803   177.10146
   -14.96935    32.89484     0.00382     0.02834     0.00452     0.00153     0.00079     0.00007     0.00082     0.00158    32.93632
   -14.87235     2.62484     0.00029     0.00250     0.00044     0.00009     0.00005     0.00001     0.00007     0.00016     2.62845
   -14.77635     0.25123     0.00003     0.00032     0.00005     0.00001     0.00001     0.00000     0.00001     0.00002     0.25168
   -14.67935     0.12575     0.00002     0.00017     0.00003     0.00000     0.00000     0.00000     0.00000     0.00001     0.12599
   -14.58235     0.07596     0.00002     0.00014     0.00002     0.00000     0.00000     0.00000     0.00000     0.00001     0.07615
   -14.48635     0.00509     0.00001     0.00005     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00517
