     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -20.84910     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.72810     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.60810     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.48710     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.36610     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.24510     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.12410     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.00410     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.88310     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.76210     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.64110     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.52110     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.40010     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.27910     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.15810    -0.68355    -0.00104    -0.00000    -0.00104     0.00000     0.00000     0.00000     0.00000     0.00000    -0.68564
   -19.03710    -0.67142    -0.00387    -0.00000    -0.00387     0.00000     0.00000     0.00000     0.00000     0.00000    -0.67916
   -18.91710    -0.67197    -0.00664    -0.00000    -0.00664     0.00000     0.00000     0.00000     0.00000     0.00000    -0.68524
   -18.79610    -0.67279    -0.00941    -0.00000    -0.00941     0.00000     0.00000     0.00000     0.00000     0.00000    -0.69161
   -18.67510    -0.68927    -0.01201    -0.00000    -0.01200     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71328
   -18.55410    -0.67081    -0.01490    -0.00000    -0.01490     0.00000     0.00000     0.00000     0.00000     0.00000    -0.70061
