      #Energy        TDOS-UP        TDOS-DOWN
     -20.84910       0.00000       0.00000
     -20.72810       0.00000       0.00000
     -20.60810       0.00000       0.00000
     -20.48710       0.00000       0.00000
     -20.36610       0.00000       0.00000
     -20.24510       0.00000       0.00000
     -20.12410       0.00000       0.00000
     -20.00410       0.00000       0.00000
     -19.88310       0.00000       0.00000
     -19.76210       0.00000       0.00000
     -19.64110       0.00000       0.00000
     -19.52110       0.00000       0.00000
     -19.40010       0.00000       0.00000
     -19.27910       0.00000       0.00000
     -19.15810       1.04600      -1.06400
     -19.03710       1.05300      -1.05100
     -18.91710       1.05800      -1.05900
     -18.79610       1.06800      -1.06700
     -18.67510       1.09700      -1.09800
     -18.55410       1.07600      -1.07600
     -18.43410       1.15000      -1.14000
     -18.31310       0.68450      -0.69750
     -18.19210       1.15700      -1.20300
     -18.07110       0.99450      -0.99790
     -17.95010       1.69400      -1.73100
     -17.83010       0.99050      -0.99110
     -17.70910       1.01700      -1.01600
     -17.58810       1.17500      -1.17900
     -17.46710       1.02700      -1.02800
     -17.34710       1.03100      -1.03100
     -17.22610       1.17300      -1.17100
     -17.10510       1.14100      -1.14200
     -16.98410       1.04700      -1.04700
     -16.86310       1.05800      -1.05900
     -16.74310       1.18300      -1.18300
     -16.62210       1.12400      -1.12200
     -16.50110       1.13200      -1.13300
     -16.38010       1.16900      -1.17000
     -16.26010       1.09400      -1.11500
     -16.13910       1.12100      -1.19100
     -16.01810       1.30900      -1.39100
     -15.89710       1.92000      -3.37600
     -15.77610       4.07700      -5.29400
     -15.65610       7.14400      -3.26800
     -15.53510       1.80400      -7.66000
     -15.41410       5.83600      -6.07400
     -15.29310       5.00300     -18.62000
     -15.17310      14.96000     -16.53000
     -15.05210      16.08000      -1.97800
     -14.93110       1.84100      -1.45300
     -14.81010       1.30300      -1.19500
     -14.68910       1.12100      -1.09600
     -14.56910       1.07900      -1.07000
     -14.44810       1.22200      -1.22300
     -14.32710       1.27400      -1.27500
     -14.20610       1.30700      -1.30900
     -14.08610       1.42400      -1.44800
     -13.96510       1.75200      -1.76000
     -13.84410       1.69300      -1.68200
     -13.72310       0.78500      -0.77420
     -13.60210       0.48940      -0.49100
     -13.48210       0.79210      -0.79580
     -13.36110       0.76780      -0.76160
     -13.24010       0.58260      -0.58020
     -13.11910       0.50730      -0.50550
     -12.99910       0.41750      -0.41560
     -12.87810       0.34450      -0.34460
     -12.75710       1.07700      -1.07700
     -12.63610       1.17300      -1.17700
     -12.51510       1.32900      -1.32700
     -12.39510       0.87930      -0.87680
     -12.27410       1.18800      -1.19100
     -12.15310       1.30700      -1.30900
     -12.03210       1.76400      -1.76100
     -11.91210       1.13900      -1.12900
     -11.79110       1.02600      -1.03000
     -11.67010       1.67700      -1.65900
     -11.54910       1.35400      -1.35100
     -11.42810       1.12500      -1.12300
     -11.30810       1.04200      -1.04300
     -11.18710       1.15900      -1.16000
     -11.06610       1.12200      -1.12300
     -10.94510       1.14800      -1.14400
     -10.82510       0.96780      -0.96660
     -10.70410       1.00600      -1.00700
     -10.58310       0.92360      -0.92200
     -10.46210       0.85460      -0.85660
     -10.34110       1.18000      -1.18600
     -10.22110       0.89720      -0.89650
     -10.10010       1.56600      -1.55400
      -9.97910       1.18500      -1.18200
      -9.85810       1.02400      -1.02200
      -9.73810       1.00600      -1.02000
      -9.61710       1.24200      -1.24800
      -9.49610       1.45200      -1.44600
      -9.37510       1.35700      -1.35800
      -9.25410       1.79900      -1.78800
      -9.13410       1.25200      -1.24700
      -9.01310       0.93940      -0.94110
      -8.89210       1.52300      -1.53400
      -8.77110       0.84030      -0.84080
      -8.65110       1.63800      -1.65500
      -8.53010       1.71300      -1.72400
      -8.40910       1.42000      -1.41500
      -8.28810       1.11700      -1.12400
      -8.16710       0.97150      -0.98650
      -8.04710       1.80800      -1.81700
      -7.92610       1.75400      -1.66300
      -7.80510       1.42900      -1.43000
      -7.68410       1.53400      -1.53500
      -7.56410       1.57200      -1.57100
      -7.44310       1.60900      -1.60800
      -7.32210       1.90600      -1.89300
      -7.20110       1.92300      -1.91200
      -7.08010       2.61000      -2.61000
      -6.96010       2.30800      -2.31700
      -6.83910       2.69600      -2.69500
      -6.71810       2.55600      -2.54900
      -6.59710       2.70000      -2.69500
      -6.47710       3.29900      -3.29200
      -6.35610       3.47800      -3.47500
      -6.23510       2.79100      -2.77800
      -6.11410       3.97000      -4.70600
      -5.99310       3.42200      -3.20500
      -5.87310       7.93800      -3.40900
      -5.75210       6.46100      -3.48000
      -5.63110       3.56600      -3.61000
      -5.51010       5.47500      -9.03300
      -5.39010       6.05700      -3.84800
      -5.26910       7.56800      -4.03500
      -5.14810       9.51600      -3.58000
      -5.02710      15.76000      -8.76200
      -4.90610       6.21700      -3.90900
      -4.78610       4.92500      -3.34200
      -4.66510       5.64900      -7.56800
      -4.54410       6.18700      -6.09500
      -4.42310       6.99300      -5.82200
      -4.30310       5.94600      -5.36100
      -4.18210       4.92800     -11.21000
      -4.06110       7.62600     -16.75000
      -3.94010       9.73000      -5.09700
      -3.81910      10.94000      -4.90800
      -3.69910      11.75000      -9.16700
      -3.57810       3.88500      -5.05500
      -3.45710       3.59200      -4.18500
      -3.33610       4.88700      -5.86000
      -3.21610       3.40300      -7.11000
      -3.09510       5.64500      -8.24400
      -2.97410       8.18900      -7.13400
      -2.85310       7.83900     -10.59000
      -2.73210       7.90600     -10.07000
      -2.61210      13.63000      -6.01600
      -2.49110       2.69300      -7.10600
      -2.37010       6.39900      -9.17800
      -2.24910      13.16000      -6.96000
      -2.12910      22.27000      -7.97900
      -2.00810       6.16300      -3.12300
      -1.88710       9.78900      -2.19300
      -1.76610       1.96100      -1.43200
      -1.64510       1.32500      -1.21500
      -1.52510       1.12600      -1.10800
      -1.40410       0.99620      -0.98240
      -1.28310       0.50500      -0.50490
      -1.16210       2.44200      -1.41600
      -1.04210       0.70300      -0.69610
      -0.92110       0.57310      -0.56710
      -0.80010       0.48530      -0.48200
