      #Energy        TDOS-UP        TDOS-DOWN
     -15.64766       0.00000       0.00000
     -15.54966       0.00000       0.00000
     -15.45166       0.00000       0.00000
     -15.35366       0.00000       0.00000
     -15.25466       0.00000       0.00000
     -15.15666       0.00000       0.00000
     -15.05866       0.00000       0.00000
     -14.96066       0.00000       0.00000
     -14.86166       0.00000       0.00000
     -14.76366       0.00000       0.00000
     -14.66566       0.00000       0.00000
     -14.56766       0.00000       0.00000
     -14.46866       0.00000       0.00000
     -14.37066       0.00000       0.00000
     -14.27266       0.00000      -2.17600
     -14.17366       2.13200      -2.38000
     -14.07566       2.46100      -2.96000
     -13.97766       3.33600      -2.29900
     -13.87966       1.26800       0.00000
     -13.78066       2.22300      -3.62000
     -13.68266       3.21100      -7.25300
     -13.58466       7.47600     -19.99000
     -13.48666      20.03000      -9.98100
     -13.38766       9.59100       0.00000
     -13.28966       0.00000       0.00000
     -13.19166       0.00000       0.00000
     -13.09366       0.00000       0.00000
     -12.99466       0.00000       0.00000
     -12.89666       0.00000       0.00000
     -12.79866       0.00000       0.00000
     -12.70066       0.00000       0.00000
     -12.60166       0.00000       0.00000
     -12.50366       0.00000       0.00000
     -12.40566       0.00000       0.00000
     -12.30766       0.00000       0.00000
     -12.20866       0.00000       0.00000
     -12.11066       0.00000       0.00000
     -12.01266       0.00000       0.00000
     -11.91366       0.00000       0.00000
     -11.81566       0.00000       0.00000
     -11.71766       0.00000       0.00000
     -11.61966       0.00000       0.00000
     -11.52066       0.00000       0.00000
     -11.42266       0.00000       0.00000
     -11.32466       0.00000       0.00000
     -11.22666       0.00000       0.00000
     -11.12766       0.00000       0.00000
     -11.02966       0.00000       0.00000
     -10.93166       0.00000       0.00000
     -10.83366       0.00000       0.00000
     -10.73466       0.00000       0.00000
     -10.63666       0.00000       0.00000
     -10.53866       0.00000       0.00000
     -10.44066       0.00000       0.00000
     -10.34166       0.00000       0.00000
     -10.24366       0.00000       0.00000
     -10.14566       0.00000       0.00000
     -10.04766       0.00000       0.00000
      -9.94866       0.00000       0.00000
      -9.85066       0.00000       0.00000
      -9.75266       0.00000       0.00000
      -9.65366       0.00000       0.00000
      -9.55566       0.00000       0.00000
      -9.45766       0.00000       0.00000
      -9.35966       0.00000       0.00000
      -9.26066       0.00000       0.00000
      -9.16266       0.00000       0.00000
      -9.06466       0.00000       0.00000
      -8.96666       0.00000       0.00000
      -8.86766       0.00000       0.00000
      -8.76966       0.00000       0.00000
      -8.67166       0.00000       0.00000
      -8.57366       0.00000       0.00000
      -8.47466       0.00000       0.00000
      -8.37666       0.00000       0.00000
      -8.27866       0.00000       0.00000
      -8.18066       0.00000       0.00000
      -8.08166       0.00000       0.00000
      -7.98366       0.00000       0.00000
      -7.88566       0.00000       0.00000
      -7.78766       0.00000       0.00000
      -7.68866       0.00000       0.00000
      -7.59066       0.00000       0.00000
      -7.49266       0.00000       0.00000
      -7.39366       0.00000       0.00000
      -7.29566       0.00000       0.00000
      -7.19766       0.00000       0.00000
      -7.09966       0.00000       0.00000
      -7.00066       0.00000       0.00000
      -6.90266       0.00000       0.00000
      -6.80466       0.00000       0.00000
      -6.70666       0.00000       0.00000
      -6.60766       0.00000       0.00000
      -6.50966       0.00000       0.00000
      -6.41166       0.00000       0.00000
      -6.31366       0.00000       0.00000
      -6.21466       0.00000       0.00000
      -6.11666       0.00000       0.00000
      -6.01866       0.00000       0.00000
      -5.92066       0.00000       0.00000
      -5.82166       0.00000       0.00000
      -5.72366       0.00000       0.00000
      -5.62566       0.00000       0.00000
      -5.52766       0.00000       0.00000
      -5.42866       0.00000       0.00000
      -5.33066       0.00000       0.00000
      -5.23266       0.00000       0.00000
      -5.13366       0.00000       0.00000
      -5.03566       0.00000       0.00000
      -4.93766       0.00000       0.00000
      -4.83966       0.00000       0.00000
      -4.74066       0.00000       0.00000
      -4.64266       0.00000       0.00000
      -4.54466       0.00000       0.00000
      -4.44666       0.00000       0.00000
      -4.34766       0.00000       0.00000
      -4.24966       0.00000       0.00000
      -4.15166      11.82000       0.00000
      -4.05366       1.54700       0.00000
      -3.95466       0.61810       0.00000
      -3.85666       6.09200       0.00000
      -3.75866       3.66400      -3.27400
      -3.66066       1.27500      -1.12200
      -3.56166       8.89500      -0.48050
      -3.46366       3.38200       0.00000
      -3.36566       4.34200      -7.14800
      -3.26766       8.18800       0.00000
      -3.16866       5.19600      -3.18200
      -3.07066       0.00000      -5.58800
      -2.97266       2.19700      -7.65600
      -2.87366       3.16900      -2.69500
      -2.77566       5.03700      -6.07500
      -2.67766      13.51000      -4.23000
      -2.57966       3.52400      -2.58900
      -2.48066       3.51200      -5.56600
      -2.38266      10.91000      -0.41370
      -2.28466       1.29500      -4.16700
      -2.18666       4.66700      -4.42900
      -2.08766      14.48000      -0.63590
      -1.98966      12.10000      -4.24600
      -1.89166       3.75500      -7.85300
      -1.79366       3.87000      -4.42800
      -1.69466       2.54300      -3.34000
      -1.59666       6.63100      -7.89100
      -1.49866       0.00000      -4.67300
      -1.40066       6.09900      -6.54600
      -1.30166       6.33300      -4.79200
      -1.20366       6.95600      -3.67900
      -1.10566       3.34600      -7.90600
      -1.00766       8.92300      -5.22400
      -0.90866      11.47000      -4.97800
      -0.81066       0.25790      -4.66500
      -0.71266       3.07900      -8.67500
      -0.61366       3.58400      -5.85200
      -0.51566      19.00000      -9.79300
      -0.41766      24.51000      -9.59600
      -0.31966       3.40300      -7.65700
      -0.22066       3.51600      -1.40300
      -0.12266       8.41400       0.00000
      -0.02466       0.00000       0.00000
       0.07334       0.00000       0.00000
       0.17234       0.00000       0.00000
       0.27034       0.00000       0.00000
       0.36834       0.00000       0.00000
       0.46634       0.00000       0.00000
       0.56534       0.00000       0.00000
       0.66334       0.00000       0.00000
       0.76134       0.00000       0.00000
       0.85934       0.00000       0.00000
       0.95834       0.00000       0.00000
       1.05634       0.00000       0.00000
       1.15434       0.00000       0.00000
       1.25234       0.00000       0.00000
       1.35134       0.00000       0.00000
       1.44934       0.00000       0.00000
       1.54734       0.00000       0.00000
       1.64634       0.00000       0.00000
       1.74434       0.00000       0.00000
       1.84234      17.22000       0.00000
       1.94034       5.60100       0.00000
       2.03934       6.21700       0.00000
       2.13734       0.00000       0.00000
       2.23534       0.00000       0.00000
       2.33334       0.00000       0.00000
       2.43234       0.00000       0.00000
       2.53034       0.00000       0.00000
       2.62834       0.00000       0.00000
       2.72634       0.00000       0.00000
       2.82534       0.00000       0.00000
       2.92334       0.00000       0.00000
       3.02134       0.00000       0.00000
       3.11934       0.00000       0.00000
       3.21834       0.00000       0.00000
       3.31634       0.00000       0.00000
       3.41434       0.00000     -15.12000
       3.51234       0.00000     -11.24000
       3.61134       0.00000      -5.11600
       3.70934       0.00000     -21.43000
       3.80734       0.00000      -3.27800
       3.90634       0.00000      -6.80800
       4.00434       0.00000      -1.46000
       4.10234       0.00000     -25.65000
       4.20034       0.00000     -11.10000
       4.29934       0.00000       0.00000
       4.39734       0.00000       0.00000
       4.49534       0.00000       0.00000
       4.59334       0.00000       0.00000
       4.69234       0.00000       0.00000
       4.79034       0.00000       0.00000
       4.88834       0.00000       0.00000
       4.98634       0.00000       0.00000
       5.08534       0.00000       0.00000
       5.18334       0.00000       0.00000
       5.28134       0.00000       0.00000
       5.37934       0.00000       0.00000
       5.47834       0.11600       0.00000
       5.57634       0.31280       0.00000
       5.67434       0.37210      -0.21040
       5.77234       0.37770      -0.35690
       5.87134       0.41640      -0.38890
       5.96934       0.43770      -0.41670
       6.06734       0.46680      -0.44420
       6.16634       0.50490      -0.47160
       6.26434       0.53900      -0.50340
       6.36234       0.72950      -0.53860
       6.46034       1.48700      -1.27000
       6.55934       3.57100      -1.37600
       6.65734       0.93510      -1.45600
       6.75534       3.65400      -1.53600
       6.85334       6.69500      -2.32600
       6.95234       3.85700      -2.65600
       7.05034       3.87500      -5.58700
       7.14834       2.65400      -2.34200
       7.24634       4.22200      -9.23600
       7.34534       5.67400      -3.23300
       7.44334       6.19100      -9.95200
       7.54134       3.91500      -3.65600
       7.63934       2.23400      -7.62100
       7.73834       3.02100      -4.28900
       7.83634       3.01900      -5.40500
       7.93434       3.89000      -4.73400
       8.03234       3.65600      -6.88400
       8.13134       5.96000      -8.34200
       8.22934       4.96000      -5.75500
       8.32734      10.32000      -7.77700
       8.42634       8.56500      -7.99000
       8.52434       7.50100      -6.19100
       8.62234       9.36900      -9.65200
       8.72034       8.18600      -9.36100
       8.81934       7.59800      -6.41300
       8.91734       7.94800      -7.57300
       9.01534       5.81900     -10.02000
       9.11334       8.15300      -6.55200
       9.21234       7.31500      -8.17400
       9.31034       7.47100      -5.58800
       9.40834       7.62200      -9.21400
       9.50634       8.84200      -7.76000
       9.60534       7.88200      -9.39000
       9.70334       8.35700      -8.04300
       9.80134       9.94000     -12.69000
       9.89934       9.42400     -11.70000
       9.99834       8.12800     -16.65000
      10.09634       9.58000     -10.21000
      10.19434       7.64600      -9.44600
      10.29234       6.94000     -10.63000
      10.39134      10.27000      -8.30100
      10.48934       6.22400      -9.34700
      10.58734      14.50000      -9.11000
      10.68634       8.32200      -9.67600
      10.78434      10.63000     -11.40000
      10.88234       7.67300      -7.41500
      10.98034      26.90000     -10.64000
      11.07934      11.23000     -13.93000
      11.17734      16.78000     -10.67000
      11.27534      12.04000     -10.69000
      11.37334      12.09000      -9.62300
      11.47234      10.70000     -10.33000
      11.57034       8.18400      -9.88100
      11.66834      11.97000     -10.09000
