      #Energy        TDOS-UP        TDOS-DOWN
     -20.85781       0.00000       0.00000
     -20.73681       0.00000       0.00000
     -20.61581       0.00000       0.00000
     -20.49581       0.00000       0.00000
     -20.37481       0.00000       0.00000
     -20.25381       0.00000       0.00000
     -20.13281       0.00000       0.00000
     -20.01181       0.00000       0.00000
     -19.89081       0.00000       0.00000
     -19.77081       0.00000       0.00000
     -19.64981       0.00000       0.00000
     -19.52881       0.00000       0.00000
     -19.40781       0.00000       0.00000
     -19.28681       0.00000       0.00000
     -19.16681       1.04500      -1.06300
     -19.04581       1.05200      -1.05100
     -18.92481       1.05800      -1.05800
     -18.80381       1.06700      -1.06600
     -18.68281       1.09600      -1.09700
     -18.56181       1.07500      -1.07600
     -18.44181       1.15000      -1.14000
     -18.32081       0.68290      -0.69590
     -18.19981       1.15200      -1.19800
     -18.07881       0.99350      -0.99690
     -17.95781       1.68800      -1.72500
     -17.83781       0.98980      -0.99040
     -17.71681       1.01700      -1.01600
     -17.59581       1.17300      -1.17800
     -17.47481       1.02700      -1.02700
     -17.35381       1.03000      -1.03100
     -17.23281       1.17300      -1.17000
     -17.11281       1.14000      -1.14100
     -16.99181       1.04600      -1.04700
     -16.87081       1.05800      -1.05800
     -16.74981       1.18300      -1.18300
     -16.62881       1.12300      -1.12200
     -16.50881       1.13100      -1.13200
     -16.38781       1.16800      -1.16900
     -16.26681       1.09400      -1.11400
     -16.14581       1.12100      -1.19000
     -16.02481       1.31200      -1.39400
     -15.90381       1.94800      -3.36400
     -15.78381       4.10400      -5.33100
     -15.66281       7.02100      -3.25100
     -15.54181       1.79700      -8.63800
     -15.42081       5.84000      -6.18300
     -15.29981       4.98800     -19.86000
     -15.17981      15.32000     -16.42000
     -15.05881      10.18000      -1.98300
     -14.93781       1.84500      -1.45600
     -14.81681       1.30500      -1.19600
     -14.69581       1.12000      -1.09500
     -14.57481       1.07900      -1.06900
     -14.45481       1.22000      -1.22100
     -14.33381       1.27100      -1.27300
     -14.21281       1.30500      -1.30600
     -14.09181       1.40000      -1.42500
     -13.97081       1.74300      -1.75000
     -13.85081       1.70200      -1.69100
     -13.72981       0.79420      -0.78350
     -13.60881       0.48770      -0.48930
     -13.48781       0.78820      -0.79190
     -13.36681       0.77330      -0.76700
     -13.24581       0.58440      -0.58210
     -13.12581       0.50870      -0.50690
     -13.00481       0.41900      -0.41720
     -12.88381       0.34410      -0.34420
     -12.76281       1.07700      -1.07800
     -12.64181       1.17100      -1.17500
     -12.52181       1.32800      -1.32500
     -12.40081       0.87810      -0.87560
     -12.27981       1.18500      -1.18800
     -12.15881       1.30200      -1.30500
     -12.03781       1.76000      -1.75600
     -11.91681       1.14300      -1.13400
     -11.79681       1.02300      -1.02600
     -11.67581       1.69000      -1.67100
     -11.55481       1.35600      -1.35300
     -11.43381       1.12600      -1.12400
     -11.31281       1.04000      -1.04000
     -11.19281       1.15700      -1.15800
     -11.07181       1.12100      -1.12100
     -10.95081       1.15200      -1.14700
     -10.82981       0.96810      -0.96700
     -10.70881       1.00500      -1.00600
     -10.58781       0.92450      -0.92290
     -10.46781       0.85240      -0.85440
     -10.34681       1.17500      -1.18100
     -10.22581       0.89740      -0.89670
     -10.10481       1.58200      -1.56900
      -9.98381       1.18800      -1.18400
      -9.86381       1.02600      -1.02400
      -9.74281       0.99270      -1.00600
      -9.62181       1.23600      -1.24200
      -9.50081       1.45600      -1.45000
      -9.37981       1.35500      -1.35600
      -9.25881       1.79000      -1.78000
      -9.13881       1.25600      -1.25100
      -9.01781       0.93830      -0.94000
      -8.89681       1.50900      -1.52000
      -8.77581       0.83970      -0.84010
      -8.65481       1.61900      -1.63600
      -8.53481       1.71300      -1.72400
      -8.41381       1.42700      -1.42200
      -8.29281       1.11400      -1.12000
      -8.17181       0.95060      -0.96610
      -8.05081       1.80100      -1.81000
      -7.92981       1.75500      -1.75500
      -7.80981       1.42800      -1.42900
      -7.68881       1.53300      -1.53400
      -7.56781       1.57100      -1.57000
      -7.44681       1.60900      -1.60800
      -7.32581       1.91200      -1.91400
      -7.20581       1.91700      -1.90600
      -7.08481       2.61400      -2.61500
      -6.96381       2.29900      -2.30400
      -6.84281       2.69400      -2.69300
      -6.72181       2.55500      -2.54800
      -6.60081       2.70200      -2.69700
