      #Energy        TDOS
     -21.21205       0.00000
     -21.13205       0.00000
     -21.05105       0.00000
     -20.97005       0.00000
     -20.88905       0.00000
     -20.80805       0.00000
     -20.72805       0.00000
     -20.64705       0.00000
     -20.56605       0.00000
     -20.48505       0.00000
     -20.40405       0.00000
     -20.32405       0.00000
     -20.24305       0.00000
     -20.16205       0.00000
     -20.08105      14.38000
     -20.00005      17.03000
     -19.92005      21.10000
     -19.83905      39.74000
     -19.75805       3.96100
     -19.67705      31.70000
     -19.59605      98.18000
     -19.51605      94.99000
     -19.43505      46.00000
     -19.35405      77.41000
     -19.27305     116.50000
     -19.19305      16.05000
     -19.11205      58.24000
     -19.03105      31.95000
     -18.95005       4.72500
     -18.86905      11.37000
     -18.78905       5.40800
     -18.70805       6.27900
     -18.62705       6.84700
     -18.54605       6.13300
     -18.46505     174.30000
     -18.38505      51.24000
     -18.30405      33.96000
     -18.22305       7.14800
     -18.14205       4.10500
     -18.06105       3.98200
     -17.98105       6.11400
     -17.90005       4.09800
     -17.81905       7.32700
     -17.73805       3.75000
     -17.65705       4.13600
     -17.57705       4.52200
     -17.49605       5.34000
     -17.41505      10.92000
     -17.33405       6.61600
     -17.25305       4.67400
     -17.17305       2.73300
     -17.09205       1.39200
     -17.01105       1.69200
     -16.93005       1.99200
     -16.84905       2.29200
     -16.76905      15.06000
     -16.68805      10.30000
     -16.60705       4.65300
     -16.52605       2.76600
     -16.44605       2.85900
     -16.36505       2.95300
     -16.28405       7.84500
     -16.20305       5.78600
     -16.12205       5.70700
     -16.04205       6.78600
     -15.96105       4.47000
     -15.88005       2.79500
     -15.79905       2.40400
     -15.71805       7.43100
     -15.63805       5.51700
     -15.55705       5.59700
     -15.47605       7.42500
     -15.39505      12.22000
     -15.31405      31.68000
     -15.23405      11.23000
     -15.15305      15.39000
     -15.07205       8.06900
     -14.99105       4.40300
     -14.91005      22.51000
     -14.83005      10.48000
     -14.74905       7.70200
     -14.66805      10.82000
     -14.58705      26.41000
     -14.50605      40.85000
     -14.42605      33.01000
     -14.34505      26.12000
     -14.26405      13.90000
     -14.18305      25.12000
     -14.10205      23.38000
     -14.02205      23.21000
     -13.94105      19.48000
     -13.86005      42.94000
     -13.77905      66.06000
     -13.69905      49.53000
     -13.61805      56.01000
     -13.53705      49.78000
     -13.45605      21.37000
     -13.37505       8.71200
     -13.29505       2.87900
     -13.21405       3.59800
     -13.13305       7.10900
     -13.05205       4.07500
     -12.97105       3.62000
     -12.89105       4.15500
     -12.81005       4.69000
     -12.72905       8.88600
     -12.64805       7.10100
     -12.56705       8.89400
     -12.48705      10.97000
     -12.40605      12.10000
     -12.32505       7.08500
     -12.24405       4.63800
     -12.16305       2.19200
     -12.08305       1.26000
     -12.00205       2.30600
     -11.92105       4.61600
     -11.84005       6.92700
     -11.75905       9.39700
     -11.67905       8.09300
     -11.59805       6.78800
     -11.51705       4.87600
     -11.43605       4.84700
     -11.35505       4.89200
     -11.27505       3.02400
     -11.19405       3.13700
     -11.11305       3.94100
     -11.03205       5.33000
     -10.95205       4.31900
     -10.87105       3.30800
     -10.79005       8.08300
     -10.70905       3.15000
     -10.62805       2.16400
     -10.54805       2.57600
     -10.46705       6.01400
     -10.38605       5.30500
     -10.30505       5.58700
     -10.22405       5.76100
     -10.14405      11.06000
     -10.06305       5.99600
      -9.98205       5.90800
      -9.90105       5.82000
      -9.82005       3.65400
      -9.74005       4.55800
      -9.65905       5.46300
      -9.57805      19.47000
      -9.49705       2.46800
      -9.41605       2.87100
      -9.33605       3.27300
      -9.25505       3.67600
      -9.17405       4.07900
      -9.09305       4.37400
      -9.01205       7.25600
      -8.93205       1.99700
      -8.85105      13.68000
      -8.77005      12.28000
      -8.68905      10.87000
      -8.60805       3.70400
      -8.52805       3.22400
      -8.44705       2.74300
      -8.36605       2.53600
      -8.28505       2.53600
      -8.20505       6.26900
      -8.12405       6.72300
      -8.04305      15.79000
      -7.96205      21.84000
      -7.88105      10.91000
      -7.80105       7.16800
      -7.72005      13.23000
      -7.63905      56.54000
      -7.55805      38.24000
      -7.47705      38.68000
      -7.39705      34.86000
      -7.31605      59.25000
      -7.23505      53.56000
      -7.15405      36.11000
      -7.07305      53.62000
      -6.99305      62.73000
      -6.91205      41.95000
      -6.83105      65.28000
      -6.75005     101.40000
      -6.66905      52.61000
      -6.58905      50.76000
      -6.50805      69.10000
      -6.42705     112.40000
      -6.34605      94.77000
      -6.26505      73.68000
      -6.18505      58.48000
      -6.10405      90.72000
      -6.02305      98.58000
      -5.94205      84.99000
      -5.86105      72.93000
      -5.78105      99.60000
      -5.70005      68.78000
      -5.61905      78.67000
      -5.53805      63.06000
      -5.45705      78.58000
      -5.37705      61.73000
      -5.29605      75.23000
      -5.21505      97.51000
      -5.13405     101.10000
      -5.05405      62.29000
      -4.97305      62.39000
      -4.89205      66.04000
      -4.81105      91.97000
      -4.73005      72.84000
      -4.65005      77.20000
      -4.56905      71.68000
      -4.48805      91.30000
      -4.40705      68.12000
      -4.32605      92.09000
      -4.24605     113.60000
      -4.16505     103.00000
      -4.08405      87.87000
      -4.00305      98.51000
      -3.92205      69.68000
      -3.84205      56.01000
      -3.76105      81.82000
      -3.68005      67.45000
      -3.59905      49.54000
      -3.51805      52.25000
      -3.43805      57.63000
      -3.35705      57.59000
      -3.27605      92.70000
      -3.19505      67.11000
      -3.11405      65.03000
      -3.03405      51.57000
      -2.95305      63.62000
      -2.87205      65.21000
      -2.79105      47.26000
      -2.71005      27.88000
      -2.63005      35.49000
      -2.54905      33.97000
      -2.46805      19.63000
      -2.38705      33.55000
      -2.30705      31.36000
      -2.22605      17.80000
      -2.14505      43.42000
      -2.06405      39.10000
      -1.98305      37.72000
      -1.90305      31.78000
      -1.82205      93.19000
      -1.74105      40.41000
      -1.66005      62.61000
      -1.57905      35.39000
      -1.49905      43.91000
      -1.41805      21.07000
      -1.33705       6.20500
      -1.25605       2.86400
      -1.17505       2.51500
      -1.09505       2.16600
      -1.01405      16.46000
      -0.93305      19.74000
      -0.85205      89.45000
      -0.77105       5.02600
      -0.69105      57.63000
      -0.61005      72.48000
      -0.52905      28.27000
      -0.44805       5.94100
      -0.36705      92.48000
      -0.28705      14.85000
      -0.20605       0.00000
      -0.12505       0.00000
      -0.04405       0.00000
       0.03695      28.50000
       0.11695      65.76000
       0.19795      38.04000
       0.27895      39.34000
       0.35995      48.59000
       0.43995     116.30000
       0.52095      87.89000
       0.60195      60.53000
       0.68295      67.30000
       0.76395      85.29000
       0.84395     135.20000
       0.92495      92.15000
       1.00595     114.50000
       1.08695      75.23000
       1.16795      72.03000
       1.24795      61.88000
       1.32895      92.48000
       1.40995      73.90000
       1.49095      93.73000
       1.57195      60.40000
       1.65195      39.99000
       1.73295      18.30000
       1.81395      28.75000
       1.89495       7.01100
       1.97595       0.00000
       2.05595       0.00000
       2.13695       0.00000
       2.21795       0.00000
       2.29895       0.00000
       2.37995       0.00000
       2.45995       0.00000
       2.54095       0.00000
       2.62195       0.00000
       2.70295       0.00000
       2.78395       0.00000
       2.86395       0.00000
       2.94495       0.00000
       3.02595       0.00000
