     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -19.97272     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.89372     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.81372     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.73372     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.65472     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.57472     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.49472     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.41572     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.33572     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.25572     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.17672     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.09672     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.01672     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.93772     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.85772     2.60939     0.00312     0.00000     0.00312     0.00000     0.00000     0.00000     0.00000     0.00000     2.61563
   -18.77872     2.99240     0.01203     0.00000     0.01204     0.00000     0.00000     0.00000     0.00000     0.00000     3.01647
   -18.69872     3.35310     0.02004     0.00000     0.02042     0.00000     0.00000     0.00000     0.00000     0.00000     3.39356
   -18.61872     3.99227     0.03595     0.00000     0.03860     0.00000     0.00000     0.00000     0.00000     0.00000     4.06683
   -18.53972     2.43823     0.02406     0.00000     0.02639     0.00000     0.00000     0.00000     0.00000     0.00000     2.48869
   -18.45972     2.80605     0.04306     0.00000     0.04244     0.00000     0.00000     0.00000     0.00000     0.00000     2.89155
   -18.37972     4.34010     0.07452     0.00000     0.07472     0.00000     0.00000     0.00000     0.00000     0.00000     4.48934
   -18.30072     2.06644     0.03964     0.00000     0.04180     0.00000     0.00000     0.00000     0.00000     0.00000     2.14789
   -18.22072     1.77618     0.03757     0.00000     0.04017     0.00000     0.00000     0.00000     0.00000     0.00000     1.85392
   -18.14072     4.20110     0.10763     0.00000     0.10676     0.00000     0.00000     0.00000     0.00000     0.00000     4.41549
   -18.06172     3.30467     0.09463     0.00000     0.09475     0.00000     0.00000     0.00000     0.00000     0.00000     3.49405
   -17.98172     3.61649     0.11100     0.00000     0.11083     0.00000     0.00000     0.00000     0.00000     0.00000     3.83832
   -17.90272     2.66964     0.09080     0.00000     0.09023     0.00000     0.00000     0.00000     0.00000     0.00000     2.85068
   -17.82272     2.78918     0.09806     0.00000     0.09769     0.00000     0.00000     0.00000     0.00000     0.00000     2.98492
   -17.74272     2.72978     0.10702     0.00000     0.10743     0.00000     0.00000     0.00000     0.00000     0.00000     2.94423
   -17.66372     5.21300     0.23087     0.00000     0.22809     0.00000     0.00000     0.00000     0.00000     0.00000     5.67196
   -17.58372     3.95780     0.17919     0.00000     0.17730     0.00000     0.00000     0.00000     0.00000     0.00000     4.31430
   -17.50372     2.70542     0.12516     0.00000     0.12553     0.00000     0.00000     0.00000     0.00000     0.00000     2.95610
   -17.42472     1.80257     0.08612     0.00000     0.08921     0.00000     0.00000     0.00000     0.00000     0.00000     1.97789
   -17.34472     1.96395     0.10005     0.00000     0.10368     0.00000     0.00000     0.00000     0.00000     0.00000     2.16768
   -17.26472     3.47738     0.19267     0.00000     0.19691     0.00000     0.00000     0.00000     0.00000     0.00000     3.86696
   -17.18572     2.97275     0.18026     0.00000     0.18167     0.00000     0.00000     0.00000     0.00000     0.00000     3.33468
   -17.10572     4.83332     0.29775     0.00000     0.30084     0.00000     0.00000     0.00000     0.00000     0.00000     5.43191
   -17.02572     2.23542     0.14741     0.00000     0.15486     0.00000     0.00000     0.00000     0.00000     0.00000     2.53769
   -16.94672     2.45249     0.16332     0.00000     0.17426     0.00000     0.00000     0.00000     0.00000     0.00000     2.79008
   -16.86672     2.66917     0.17936     0.00000     0.19414     0.00000     0.00000     0.00000     0.00000     0.00000     3.04267
   -16.78772     3.11582     0.22019     0.00000     0.23495     0.00000     0.00000     0.00000     0.00000     0.00000     3.57096
   -16.70772     7.07960     0.54902     0.00000     0.54422     0.00000     0.00000     0.00000     0.00000     0.00000     8.17284
   -16.62772     3.55205     0.28512     0.00000     0.28173     0.00000     0.00000     0.00000     0.00000     0.00000     4.11890
   -16.54872     2.45485     0.19975     0.00000     0.19878     0.00000     0.00000     0.00000     0.00000     0.00000     2.85339
   -16.46872     1.35948     0.11521     0.00000     0.11217     0.00000     0.00000     0.00000     0.00000     0.00000     1.58686
   -16.38872     0.81253     0.07559     0.00000     0.06930     0.00000     0.00000     0.00000     0.00000     0.00000     0.95743
   -16.30972     0.97495     0.09286     0.00000     0.08807     0.00000     0.00000     0.00000     0.00000     0.00000     1.15588
   -16.22972     1.13698     0.10988     0.00000     0.10752     0.00000     0.00000     0.00000     0.00000     0.00000     1.35438
   -16.14972     1.29877     0.12665     0.00000     0.12767     0.00000     0.00000     0.00000     0.00000     0.00000     1.55309
   -16.07072     8.06840     0.86929     0.00000     0.78844     0.00000     0.00000     0.00000     0.00000     0.00000     9.72613
   -15.99072     5.46230     0.58755     0.00000     0.55208     0.00000     0.00000     0.00000     0.00000     0.00000     6.60193
   -15.91072     2.58047     0.27583     0.00000     0.28633     0.00000     0.00000     0.00000     0.00000     0.00000     3.14262
   -15.83172     1.51959     0.16493     0.00000     0.17636     0.00000     0.00000     0.00000     0.00000     0.00000     1.86089
   -15.75172     1.56671     0.17271     0.00000     0.18488     0.00000     0.00000     0.00000     0.00000     0.00000     1.92430
   -15.67272     1.61379     0.18068     0.00000     0.19335     0.00000     0.00000     0.00000     0.00000     0.00000     1.98782
   -15.59272     4.28580     0.50112     0.00000     0.51335     0.00000     0.00000     0.00000     0.00000     0.00000     5.30027
   -15.51272     3.14102     0.37364     0.00000     0.38476     0.00000     0.00000     0.00000     0.00000     0.00000     3.89942
   -15.43372     3.09372     0.37341     0.00000     0.38335     0.00000     0.00000     0.00000     0.00000     0.00000     3.85048
   -15.35372     3.62340     0.46653     0.00000     0.45635     0.00000     0.00000     0.00000     0.00000     0.00000     4.54628
   -15.27372     2.08923     0.28267     0.00000     0.26716     0.00000     0.00000     0.00000     0.00000     0.00000     2.63906
   -15.19472     1.18964     0.17175     0.00000     0.15611     0.00000     0.00000     0.00000     0.00000     0.00000     1.51750
   -15.11472     1.06755     0.15581     0.00000     0.14092     0.00000     0.00000     0.00000     0.00000     0.00000     1.36428
   -15.03472     3.71810     0.52143     0.00000     0.50791     0.00000     0.00000     0.00000     0.00000     0.00000     4.74744
   -14.95572     2.61978     0.37636     0.00000     0.36418     0.00000     0.00000     0.00000     0.00000     0.00000     3.36032
   -14.87572     2.59546     0.37702     0.00000     0.36661     0.00000     0.00000     0.00000     0.00000     0.00000     3.33909
   -14.79672     2.57101     0.37755     0.00000     0.36924     0.00000     0.00000     0.00000     0.00000     0.00000     3.31780
