      #Energy        TDOS
     -19.97272       0.00000
     -19.89372       0.00000
     -19.81372       0.00000
     -19.73372       0.00000
     -19.65472       0.00000
     -19.57472       0.00000
     -19.49472       0.00000
     -19.41572       0.00000
     -19.33572       0.00000
     -19.25572       0.00000
     -19.17672       0.00000
     -19.09672       0.00000
     -19.01672       0.00000
     -18.93772       0.00000
     -18.85772       4.10000
     -18.77872       4.72200
     -18.69872       5.30700
     -18.61872       6.35000
     -18.53972       3.88400
     -18.45972       4.50200
     -18.37972       6.98300
     -18.30072       3.33700
     -18.22072       2.87700
     -18.14072       6.84100
     -18.06172       5.40500
     -17.98172       5.93300
     -17.90272       4.39900
     -17.82272       4.60400
     -17.74272       4.53300
     -17.66372       8.71300
     -17.58372       6.62500
     -17.50372       4.53600
     -17.42472       3.03200
     -17.34472       3.31800
     -17.26472       5.90800
     -17.18572       5.08400
     -17.10572       8.27800
     -17.02572       3.85700
     -16.94672       4.23900
     -16.86672       4.62000
     -16.78772       5.41500
     -16.70772      12.37000
     -16.62772       6.22700
     -16.54872       4.31100
     -16.46872       2.39500
     -16.38872       1.44100
     -16.30972       1.73700
     -16.22972       2.03300
     -16.14972       2.32900
     -16.07072      14.56000
     -15.99072       9.87200
     -15.91072       4.68900
     -15.83172       2.77200
     -15.75172       2.86400
     -15.67272       2.95700
     -15.59272       7.87100
     -15.51272       5.78400
     -15.43372       5.70700
     -15.35372       6.72300
     -15.27372       3.89300
     -15.19472       2.23300
     -15.11472       2.00700
     -15.03472       6.97100
     -14.95572       4.92400
     -14.87572       4.88700
     -14.79672       4.84900
     -14.71672       8.82700
     -14.63672      30.42000
     -14.55772       6.62000
     -14.47772       8.70100
     -14.39772      14.08000
     -14.31872       3.85200
     -14.23872      12.28000
     -14.15872       9.60000
     -14.07972      11.73000
     -13.99972      15.56000
     -13.91972      12.01000
     -13.84072      32.63000
     -13.76072      15.30000
     -13.68172      27.86000
     -13.60172      27.01000
     -13.52172      17.43000
     -13.44272       9.86500
     -13.36272      30.19000
     -13.28272      25.81000
     -13.20372      21.06000
     -13.12372      22.90000
     -13.04372      41.54000
     -12.96472      40.00000
     -12.88472      29.96000
     -12.80472      52.77000
     -12.72572      50.33000
     -12.64572      37.90000
     -12.56672      13.63000
     -12.48672       5.85500
     -12.40672      84.81000
     -12.32772       3.30400
     -12.24772       3.84800
     -12.16772       4.39200
     -12.08872       8.24500
     -12.00872       6.41800
     -11.92872       7.87200
     -11.84972      11.92000
     -11.76972      10.68000
     -11.69072       8.75100
     -11.61072       6.34000
     -11.53072       3.93000
     -11.45172       1.53100
     -11.37172       1.17200
     -11.29172       2.87300
     -11.21272       5.15200
     -11.13272       7.43100
     -11.05272       9.13200
     -10.97372       7.84600
     -10.89372       6.56000
     -10.81372       4.72200
     -10.73472       4.75200
     -10.65472       4.93700
     -10.57572       3.03800
     -10.49572       3.14900
     -10.41572       6.24000
     -10.33672       5.24800
     -10.25672       4.25500
     -10.17672       3.26200
     -10.09772       8.01400
     -10.01772       3.10800
      -9.93772       2.16700
      -9.85872       2.57200
      -9.77872       6.02200
      -9.69972       5.29400
      -9.61972       5.57200
      -9.53972       5.66000
      -9.46072      10.90000
      -9.38072       6.00400
      -9.30072       5.91700
      -9.22172       5.83000
      -9.14172       5.74300
      -9.06172       4.41900
      -8.98272       5.31000
      -8.90272      56.03000
      -8.82272       3.71100
      -8.74372       2.78500
      -8.66372       3.18300
      -8.58472       3.58100
      -8.50472       3.97900
      -8.42472       4.30700
      -8.34572       6.29500
      -8.26572       7.70200
      -8.18572      14.11000
      -8.10672      12.73000
      -8.02672      11.35000
      -7.94672       3.87400
      -7.86772       3.40000
      -7.78772       2.92700
      -7.70772       2.45400
      -7.62872       2.60200
      -7.54872       5.93800
      -7.46972       6.25500
      -7.38972      11.71000
      -7.30972      17.42000
      -7.23072      12.00000
      -7.15072       8.41300
      -7.07072       4.83000
      -6.99172       2.40100
      -6.91172      12.83000
      -6.83172       8.76600
      -6.75272      18.44000
      -6.67272      11.51000
      -6.59372      24.70000
